trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance
1.0,-2.0,,,,0.0,,AUDCAD,long,,20160425 07:07:02 EST,open,20160425 07:07:02 EST,0.97849,,,0.0,2.0,,AUDCAD,,0.0,2.0,CAD,99998.0,2.0,1984573.12666,99994.10808,99998.10808,100000.0
2.0,-2.0,,,,0.0,,AUDCHF,short,,20160425 07:10:10 EST,open,20160425 07:10:10 EST,0.75191,,,0.0,2.0,,AUDCHF,,0.0,-2.0,CHF,99996.0,2.0,1969145.43728,99985.50352,99993.50352,100000.0
3.0,-2.0,,,,0.0,,AUDNZD,long,,20160425 07:11:13 EST,open,20160425 07:11:13 EST,1.12293,,,0.0,2.0,,AUDNZD,,0.0,2.0,NZD,99994.0,2.0,1953714.13322,99976.99034,99988.99034,100000.0
4.0,-2.0,,,,0.0,,GBPAUD,long,,20160425 07:11:32 EST,open,20160425 07:11:32 EST,1.8745,,,0.0,2.0,,GBPAUD,,0.0,2.0,AUD,99992.0,2.0,1924790.59822,99971.10126,99987.10126,100000.0
5.0,-2.0,,,,0.0,,GBPCAD,long,,20160425 07:12:00 EST,open,20160425 07:12:00 EST,1.83344,,,0.0,2.0,,GBPCAD,,0.0,2.0,CAD,99990.0,2.0,1895884.58318,99962.19412,99982.19412,100000.0
6.0,-2.0,,,,0.0,,GBPNZD,long,,20160425 07:12:22 EST,open,20160425 07:12:22 EST,2.10473,,,0.0,2.0,,GBPNZD,,0.0,2.0,NZD,99988.0,2.0,1866961.38352,99951.43866,99975.43866,100000.0
7.0,-2.0,,,,0.0,,CADCHF,long,,20160425 07:12:44 EST,open,20160425 07:12:44 EST,0.76873,,,0.0,2.0,,CADCHF,,0.0,2.0,CHF,99986.0,2.0,1851188.58138,99976.27724,100004.27724,100000.0
8.0,-2.0,,,,0.0,,NZDCHF,short,,20160425 07:13:00 EST,open,20160425 07:13:00 EST,0.66949,,,0.0,2.0,,NZDCHF,,0.0,-2.0,CHF,99984.0,2.0,1837451.98556,99982.16858,100014.16858,100000.0
9.0,-2.0,,,,0.0,,NZDCAD,short,,20160425 07:13:23 EST,open,20160425 07:13:23 EST,0.87083,,,0.0,2.0,,NZDCAD,,0.0,-2.0,CAD,99982.0,2.0,1823722.47978,100017.97848,100053.97848,100000.0
10.0,-2.0,,,,0.0,,EURNZD,long,,20160425 07:13:37 EST,open,20160425 07:13:37 EST,1.6384,,,0.0,2.0,,EURNZD,,0.0,2.0,NZD,99980.0,2.0,1801207.58698,100005.1913,100045.1913,100000.0
11.0,-2.0,,,,0.0,,EURAUD,long,,20160425 07:13:48 EST,open,20160425 07:13:48 EST,1.45888,,,0.0,2.0,,EURAUD,,0.0,2.0,AUD,99978.0,2.0,1778697.06858,100019.38012,100063.38012,100000.0
12.0,-2.0,,,,0.0,,EURCAD,short,,20160425 07:14:07 EST,open,20160425 07:14:07 EST,1.4268,,,0.0,2.0,,EURCAD,,0.0,-2.0,CAD,99976.0,2.0,1756202.13978,100019.25378,100067.25378,100000.0
13.0,-2.0,,,,0.0,,EURJPY,long,,20160425 07:14:20 EST,open,20160425 07:14:20 EST,125.099,,,0.0,2.0,,EURJPY,,0.0,2.0,JPY,99974.0,2.0,1733684.31978,100019.9421,100071.9421,100000.0
14.0,-2.0,,,,0.0,,EURUSD,short,,20160425 07:14:30 EST,open,20160425 07:14:30 EST,1.12572,,,0.0,2.0,,EURUSD,,0.0,-2.0,USD,99972.0,2.0,1711169.91978,100017.53692,100073.53692,100000.0
15.0,-2.0,,,,0.0,,GBPUSD,long,,20160425 07:14:37 EST,open,20160425 07:14:37 EST,1.44777,,,0.0,2.0,,GBPUSD,,0.0,2.0,USD,99970.0,2.0,1682214.51978,100021.78928,100081.78928,100000.0
16.0,-2.0,,,,0.0,,USDCHF,long,,20160425 07:14:42 EST,open,20160425 07:14:42 EST,0.97446,,,0.0,2.0,,USDCHF,,0.0,2.0,CHF,99968.0,2.0,1662220.5495,99995.09674,100059.09674,100000.0
17.0,-2.0,,,,0.0,,USDJPY,long,,20160425 07:14:44 EST,open,20160425 07:14:44 EST,111.127,,,0.0,2.0,,USDJPY,,0.0,2.0,JPY,99966.0,2.0,1642217.6895,99991.51868,100059.51868,100000.0
18.0,-2.0,,,,0.0,,AUDUSD,short,,20160425 07:14:48 EST,open,20160425 07:14:48 EST,0.77169,,,0.0,2.0,,AUDUSD,,0.0,-2.0,USD,99964.0,2.0,1626783.8895,99997.23806,100069.23806,100000.0
19.0,-2.0,,,,0.0,,USDCAD,long,,20160425 07:14:50 EST,open,20160425 07:14:50 EST,1.26756,,,0.0,2.0,,USDCAD,,0.0,2.0,CAD,99962.0,2.0,1606799.53854,99988.62948,100064.62948,100000.0
20.0,-2.0,,,,0.0,,NZDJPY,long,,20160425 07:14:54 EST,open,20160425 07:14:54 EST,76.367,,,0.0,2.0,,NZDJPY,,0.0,2.0,JPY,99960.0,2.0,1593053.47854,99970.22614,100050.22614,100000.0
21.0,-2.0,,,,0.0,,CADJPY,long,,20160425 07:14:56 EST,open,20160425 07:14:56 EST,87.676,,,0.0,2.0,,CADJPY,,0.0,2.0,JPY,99958.0,2.0,1577271.79854,99965.14614,100049.14614,100000.0
22.0,-2.0,,,,0.0,,CHFJPY,long,,20160425 07:14:57 EST,open,20160425 07:14:57 EST,114.041,,,0.0,2.0,,CHFJPY,,0.0,2.0,JPY,99956.0,2.0,1556744.41854,99954.21196,100042.21196,100000.0
23.0,-2.0,,,,0.0,,EURGBP,short,,20160425 07:15:03 EST,open,20160425 07:15:03 EST,0.77774,,,0.0,2.0,,EURGBP,,0.0,-2.0,GBP,99954.0,2.0,1534259.95514,99950.4357,100042.4357,100000.0
24.0,-2.0,,,,0.0,,GBPJPY,long,,20160425 07:15:05 EST,open,20160425 07:15:05 EST,160.851,,,0.0,2.0,,GBPJPY,,0.0,2.0,JPY,99952.0,2.0,1505306.77514,99938.59038,100034.59038,100000.0
25.0,-2.0,,,,0.0,,EURCHF,long,,20160425 07:15:06 EST,open,20160425 07:15:06 EST,1.09698,,,0.0,2.0,,EURCHF,,0.0,2.0,CHF,99950.0,2.0,1482798.9395,99931.44774,100031.44774,100000.0
26.0,-2.0,,,,0.0,,AUDJPY,long,,20160425 07:15:07 EST,open,20160425 07:15:07 EST,85.776,,,0.0,2.0,,AUDJPY,,0.0,2.0,JPY,99948.0,2.0,1467359.2595,99928.90488,100032.90488,100000.0
27.0,-2.0,,,,0.0,,NZDUSD,short,,20160425 07:15:09 EST,open,20160425 07:15:09 EST,0.68714,,,0.0,2.0,,NZDUSD,,0.0,-2.0,USD,99946.0,2.0,1453616.4595,99925.56488,100033.56488,100000.0
