Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160513 06:58:35 EST,paperUSD,99662.1702,99746.1702,1909155.2397,0.0,-337.8298,-253.8298,USD,99662.1702,99746.1702,0.0
20160513 09:42:02 EST,paperUSD,99660.1702,99746.1702,1886407.1171,-5.7583,-339.8298,-253.8298,USD,99654.4119,99742.4119,-3.7583
20160513 11:02:07 EST,paperUSD,99671.7579,99759.7579,1909168.8274,0.0,-328.2421,-240.2421,USD,99671.7579,99759.7579,0.0
20160513 11:02:07 EST,paperUSD,99669.7579,99759.7579,1886407.1171,2.0474,-330.2421,-240.2421,USD,99671.8053,99763.8053,4.0474
20160513 12:21:15 EST,paperUSD,99703.8954,99795.8954,1909132.6899,0.0,-296.1046,-204.1046,USD,99703.8954,99795.8954,0.0
20160513 13:02:08 EST,paperUSD,99701.8954,99795.8954,1886401.6242,-6.0474,-298.1046,-204.1046,USD,99695.848,99791.848,-4.0474
20160513 14:21:10 EST,paperUSD,99716.085,99812.085,1909148.8795,0.0,-283.915,-187.915,USD,99716.085,99812.085,0.0
20160515 19:18:26 EST,paperUSD,99714.085,99812.085,1886354.79,-3.4455,-285.915,-187.915,USD,99710.6395,99810.6395,-1.4455
20160515 19:27:19 EST,paperUSD,99711.5068,99811.5068,1909148.3013,0.0,-288.4932,-188.4932,USD,99711.5068,99811.5068,0.0
20160515 21:51:08 EST,paperUSD,99709.5068,99811.5068,1886381.3872,-0.265400000001,-290.4932,-188.4932,USD,99709.2414,99813.2414,1.7346
20160515 23:08:46 EST,paperUSD,99721.6727,99825.6727,1909134.1354,0.0,-278.3273,-174.3273,USD,99721.6727,99825.6727,0.0
20160516 03:44:42 EST,paperUSD,99719.6727,99825.6727,1886334.8421,-2.5782,-280.3273,-174.3273,USD,99717.0945,99825.0945,-0.578200000001
20160516 06:04:02 EST,paperUSD,99712.4689,99820.4689,1909128.9316,0.0,-287.5311,-179.5311,USD,99712.4689,99820.4689,0.0
20160516 11:04:27 EST,paperUSD,99710.4689,99820.4689,1886384.5673,-3.1564,-289.5311,-179.5311,USD,99707.3125,99819.3125,-1.1564
20160516 11:48:17 EST,paperUSD,99725.2367,99837.2367,1909112.1638,0.0,-274.7633,-162.7633,USD,99725.2367,99837.2367,0.0
20160518 22:13:00 EST,paperUSD,99723.2367,99837.2367,1886854.6439,2.9147,-276.7633,-162.7633,USD,99726.1514,99842.1514,4.9147
20160518 23:11:29 EST,paperUSD,99718.0566,99834.0566,1909115.3439,0.0,-281.9434,-165.9434,USD,99718.0566,99834.0566,0.0
