trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,balance,commission,margin_available,index
1,17.941333304,20160316 14:31:40 EST,20160316 14:31:40 EST,20160316 14:31:40 EST,126.054333333,,EURJPY,short,20160316 12:49:07 EST,20160316 12:49:07 EST,closed,20160316 12:49:07 EST,125.805,1.0,,10000.0,10000.0,,EURJPY,strat103EURJPYv2,10017.9413333,4.0,30021.9413333,
2,-29.148444464,20160316 17:30:03 EST,20160316 17:30:03 EST,20160316 17:30:03 EST,126.340111111,,EURJPY,long,20160316 14:31:40 EST,20160316 14:31:40 EST,closed,20160316 14:31:40 EST,126.054333333,1.0,,10000.0,10000.0,,EURJPY,strat103EURJPYv2,9988.79288884,4.0,30047.0897778,
3,0.043111072,20160316 18:25:00 EST,20160316 18:25:00 EST,20160316 18:25:00 EST,126.386055555,,EURJPY,short,20160316 17:30:03 EST,20160316 17:30:03 EST,closed,20160316 17:30:03 EST,126.340111111,1.0,,10000.0,10000.0,,EURJPY,strat103EURJPYv2,9988.83599991,4.0,30051.1328888,
4,1.75999996,20160316 20:34:35 EST,20160316 20:34:35 EST,20160316 20:34:35 EST,126.567090909,,EURJPY,short,20160316 20:17:55 EST,20160316 20:17:55 EST,closed,20160316 20:17:55 EST,126.554,1.0,,50000.0,50000.0,,EURJPY,strat103EURJPYv2,9990.59599987,4.0,30056.8928888,
5,36.368000024,20160317 01:54:37 EST,20160317 01:54:37 EST,20160317 01:54:37 EST,126.108363636,,EURJPY,long,20160316 20:34:35 EST,20160316 20:34:35 EST,closed,20160316 20:34:35 EST,126.567090909,1.0,,10000.0,10000.0,,EURJPY,strat103EURJPYv2,10026.9639999,4.0,30016.5248888,
6,-21.967999984,20160317 03:33:47 EST,20160317 03:33:47 EST,20160317 03:33:47 EST,125.904181818,,EURJPY,short,20160317 01:54:37 EST,20160317 01:54:37 EST,closed,20160317 01:54:37 EST,126.108363636,1.0,,10000.0,10000.0,,EURJPY,strat103EURJPYv2,10004.9959999,4.0,29998.5568888,
7,-161.67999984,20160317 07:50:59 EST,20160317 07:50:59 EST,20160317 07:50:59 EST,125.804636364,,EURJPY,short,20160317 06:43:32 EST,20160317 06:43:32 EST,closed,20160317 06:43:32 EST,126.163,1.0,,50000.0,50000.0,,EURJPY,strat103EURJPYv2,9843.31600006,4.0,29840.876889,
8,-25.355999984,20160317 08:43:06 EST,20160317 08:43:06 EST,20160317 08:43:06 EST,126.047318182,,EURJPY,long,20160317 07:50:59 EST,20160317 07:50:59 EST,closed,20160317 07:50:59 EST,125.804636364,1.0,,10000.0,10000.0,,EURJPY,strat103EURJPYv2,9817.96000008,4.0,29862.232889,
9,-34.8,20160317 10:35:16 EST,20160317 10:35:16 EST,20160317 10:35:16 EST,126.2265,,EURJPY,short,20160317 09:35:09 EST,20160317 09:35:09 EST,closed,20160317 09:35:09 EST,126.314,1.0,,40000.0,40000.0,,EURJPY,strat103EURJPYv2,9783.16000008,4.0,29831.432889,
10,-14.090666696,20160317 12:59:44 EST,20160317 12:59:44 EST,20160317 12:59:44 EST,125.870333333,,EURJPY,short,20160317 11:43:56 EST,20160317 11:43:56 EST,closed,20160317 11:43:56 EST,125.985,1.0,,10000.0,10000.0,,EURJPY,strat103EURJPYv2,9769.06933338,4.0,29821.3422223,
11,-11.773333304,20160317 13:54:16 EST,20160317 13:54:16 EST,20160317 13:54:16 EST,125.958666666,,EURJPY,long,20160317 12:59:44 EST,20160317 12:59:44 EST,closed,20160317 12:59:44 EST,125.870333333,1.0,,10000.0,10000.0,,EURJPY,strat103EURJPYv2,9757.29600008,4.0,29829.1155556,
