trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,balance,commission,margin_available
1,444.9886236,20160318 08:44:37 EST,20160318 08:44:37 EST,20160318 08:44:37 EST,1.448016,,GBPUSD,long,20160318 06:23:55 EST,20160318 08:45:10 EST,open,20160318 06:23:55 EST,1.44728866667,10000.0,,15.0,15.0,,GBPUSD,strat103GBPUSDv2,10444.9886236,19.811376,-186579.3
2,-2.0,,,,0.0,,GBPUSD,long,20160318 08:45:21 EST,20160318 08:45:21 EST,open,20160318 08:45:21 EST,1.44911,10000.0,,0.0,3.0,,GBPUSD,strat103GBPUSDv2,10442.9886236,2.0,-230052.6
