trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl,unr_pnl
1.0,6.208,20160323 06:13:29 EST,20160323 06:13:29 EST,20160323 06:13:29 EST,75.456,,NZDJPY,short,,20160323 05:41:08 EST,closed,20160323 05:41:08 EST,75.572,,,1.0,1.0,,NZDJPY,,10.208,1.0,20006.208,4.0,399989.792,20010.208,,,,,
2.0,0.224,20160323 06:26:57 EST,20160323 06:26:57 EST,20160323 06:26:57 EST,75.504,,NZDJPY,long,,20160323 06:13:29 EST,closed,20160323 06:13:29 EST,75.456,,,1.0,1.0,,NZDJPY,,4.224,-1.0,20006.432,4.0,399994.016,20014.432,,,,,
3.0,-10.776,20160323 06:49:00 EST,20160323 06:49:00 EST,20160323 06:49:00 EST,75.581,,NZDJPY,short,,20160323 06:26:57 EST,closed,20160323 06:26:57 EST,75.504,,,1.0,1.0,,NZDJPY,,-6.776,1.0,19995.656,4.0,400000.792,20007.656,,,,,
4.0,6.56,20160323 07:30:44 EST,20160323 07:30:44 EST,20160323 07:30:44 EST,75.701,,NZDJPY,long,,20160323 06:49:00 EST,closed,20160323 06:49:00 EST,75.581,,,1.0,1.0,,NZDJPY,,10.56,-1.0,20002.216,4.0,400011.352,20018.216,,,,,
5.0,-1.536,20160323 07:42:02 EST,20160323 07:42:02 EST,20160323 07:42:02 EST,75.673,,NZDJPY,short,,20160323 07:30:44 EST,closed,20160323 07:30:44 EST,75.701,,,1.0,1.0,,NZDJPY,,2.464,1.0,20000.68,4.0,400008.888,20020.68,,,,,
6.0,-11.216,20160323 08:20:10 EST,20160323 08:20:10 EST,20160323 08:20:10 EST,75.591,,NZDJPY,long,,20160323 07:42:02 EST,closed,20160323 07:42:02 EST,75.673,,,1.0,1.0,,NZDJPY,,-7.216,-1.0,19989.464,4.0,400001.672,20013.464,,,,,
7.0,-0.215999999999,20160323 09:06:27 EST,20160323 09:06:27 EST,20160323 09:06:27 EST,75.548,,NZDJPY,short,,20160323 08:20:10 EST,closed,20160323 08:20:10 EST,75.591,,,1.0,1.0,,NZDJPY,,3.784,1.0,19989.248,4.0,399997.888,20017.248,,,,,
8.0,-9.192,20160323 09:50:16 EST,20160323 09:50:16 EST,20160323 09:50:16 EST,75.489,,NZDJPY,long,,20160323 09:06:27 EST,closed,20160323 09:06:27 EST,75.548,,,1.0,1.0,,NZDJPY,,-5.192,-1.0,19980.056,4.0,399992.696,20012.056,,,,,
9.0,-5.32,20160323 10:39:39 EST,20160323 10:39:39 EST,20160323 10:39:39 EST,75.504,,NZDJPY,short,,20160323 09:50:16 EST,closed,20160323 09:50:16 EST,75.489,,,1.0,1.0,,NZDJPY,,-1.32,1.0,19974.736,4.0,399994.016,20010.736,,,,,
10.0,-0.919999999999,20160323 11:05:18 EST,20160323 11:05:18 EST,20160323 11:05:18 EST,75.539,,NZDJPY,long,,20160323 10:39:39 EST,closed,20160323 10:39:39 EST,75.504,,,1.0,1.0,,NZDJPY,,3.08,-1.0,19973.816,4.0,399997.096,20013.816,,,,,
11.0,-0.743999999999,20160323 13:11:22 EST,20160323 13:11:22 EST,20160323 13:11:22 EST,75.502,,NZDJPY,short,,20160323 11:05:18 EST,closed,20160323 11:05:18 EST,75.539,,,1.0,1.0,,NZDJPY,,3.256,1.0,19973.072,4.0,399993.84,20017.072,,,,,
12.0,-3.208,20160323 14:15:16 EST,20160323 14:15:16 EST,20160323 14:15:16 EST,75.511,,NZDJPY,long,,20160323 13:11:22 EST,closed,20160323 13:11:22 EST,75.502,,,1.0,1.0,,NZDJPY,,0.792,-1.0,19969.864,4.0,399994.632,20017.864,,,,,
13.0,-2.768,20160323 14:36:15 EST,20160323 14:36:15 EST,20160323 14:36:15 EST,75.497,,NZDJPY,short,,20160323 14:15:16 EST,closed,20160323 14:15:16 EST,75.511,,,1.0,1.0,,NZDJPY,,1.232,1.0,19967.096,4.0,399993.4,20019.096,,,,,
14.0,-10.248,20160323 15:34:00 EST,20160323 15:34:00 EST,20160323 15:34:00 EST,75.426,,NZDJPY,long,,20160323 14:36:15 EST,closed,20160323 14:36:15 EST,75.497,,,1.0,1.0,,NZDJPY,,-6.248,-1.0,19956.848,4.0,399987.152,20012.848,,,,,
15.0,0.488,20160323 17:43:32 EST,20160323 17:43:32 EST,20160323 17:43:32 EST,75.375,,NZDJPY,short,,20160323 15:34:00 EST,closed,20160323 15:34:00 EST,75.426,,,1.0,1.0,,NZDJPY,,4.488,1.0,19957.336,4.0,399982.664,20017.336,,,,,
16.0,-4.44,20160323 18:08:10 EST,20160323 18:08:10 EST,20160323 18:08:10 EST,75.37,,NZDJPY,long,,20160323 17:43:32 EST,closed,20160323 17:43:32 EST,75.375,,,1.0,1.0,,NZDJPY,,-0.44,-1.0,19952.896,4.0,399982.224,20016.896,,,,,
17.0,-16.76,20160323 18:32:47 EST,20160323 18:32:47 EST,20160323 18:32:47 EST,75.515,,NZDJPY,short,,20160323 18:08:10 EST,closed,20160323 18:08:10 EST,75.37,,,1.0,1.0,,NZDJPY,,-12.76,1.0,19936.136,4.0,399994.984,20004.136,,,,,
18.0,-10.864,20160323 18:57:45 EST,20160323 18:57:45 EST,20160323 18:57:45 EST,75.437,,NZDJPY,long,,20160323 18:32:47 EST,closed,20160323 18:32:47 EST,75.515,,,1.0,1.0,,NZDJPY,,-6.864,-1.0,19925.272,4.0,399988.12,19997.272,,,,,
19.0,-0.480000000001,20160323 20:34:15 EST,20160323 20:34:15 EST,20160323 20:34:15 EST,75.397,,NZDJPY,short,,20160323 18:57:45 EST,closed,20160323 18:57:45 EST,75.437,,,1.0,1.0,,NZDJPY,,3.52,1.0,19924.792,4.0,399984.6,20000.792,,,,,
20.0,1.808,20160323 21:01:48 EST,20160323 21:01:48 EST,20160323 21:01:48 EST,75.463,,NZDJPY,long,,20160323 20:34:15 EST,closed,20160323 20:34:15 EST,75.397,,,1.0,1.0,,NZDJPY,,5.808,-1.0,19926.6,4.0,399990.408,20006.6,,,,,
21.0,-7.784,20160323 23:50:46 EST,20160323 23:50:46 EST,20160323 23:50:46 EST,75.506,,NZDJPY,short,,20160323 21:01:48 EST,closed,20160323 21:01:48 EST,75.463,,,1.0,1.0,,NZDJPY,,-3.784,1.0,19918.816,4.0,399994.192,20002.816,,,,,
22.0,-2.328,20160324 01:42:54 EST,20160324 01:42:54 EST,20160324 01:42:54 EST,75.525,,NZDJPY,long,,20160323 23:50:46 EST,closed,20160323 23:50:46 EST,75.506,,,1.0,1.0,,NZDJPY,,1.672,-1.0,19916.488,4.0,399995.864,20004.488,,,,,
23.0,3.568,20160324 02:06:52 EST,20160324 02:06:52 EST,20160324 02:06:52 EST,75.439,,NZDJPY,short,,20160324 01:42:54 EST,closed,20160324 01:42:54 EST,75.525,,,1.0,1.0,,NZDJPY,,7.568,1.0,19920.056,4.0,399988.296,20012.056,,,,,
24.0,3.392,20160324 02:22:28 EST,20160324 02:22:28 EST,20160324 02:22:28 EST,75.523,,NZDJPY,long,,20160324 02:06:52 EST,closed,20160324 02:06:52 EST,75.439,,,1.0,1.0,,NZDJPY,,7.392,-1.0,19923.448,4.0,399995.688,20019.448,,,,,
25.0,6.208,20160324 03:13:46 EST,20160324 03:13:46 EST,20160324 03:13:46 EST,75.407,,NZDJPY,short,,20160324 02:22:28 EST,closed,20160324 02:22:28 EST,75.523,,,1.0,1.0,,NZDJPY,,10.208,1.0,19929.656,4.0,399985.48,20029.656,,,,,
