symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
EURJPY,EUR,,20000.0,20000.0,125.041,125.041,-22507.38,2.0,-517.88,-2.0,0.0,Paper,JPY,-515.88
NZDJPY,NZD,,20000.0,20000.0,76.357,76.357,-13744.26,2.0,-438.68,-2.0,0.0,Paper,JPY,-436.68
AUDJPY,AUD,,20000.0,20000.0,85.761,85.761,-15436.98,2.0,-1012.52,-2.0,0.0,Paper,JPY,-1010.52
USDCHF,USD,,-20000.0,-20000.0,0.97443,0.97443,0.0,2.0,400.35798,-2.76892,1.23108,Paper,CHF,402.35798
EURUSD,EUR,,20000.0,20000.0,1.14856,1.14856,0.0,2.0,89.2,-459.2,-455.2,Paper,USD,91.2
EURCHF,EUR,,20000.0,20000.0,1.09996,1.09996,0.0,2.0,18.10764,-60.57788,-54.57788,Paper,CHF,20.10764
NZDUSD,NZD,,20000.0,20000.0,0.7004,0.7004,0.0,2.0,-50.6,-269.0,-265.0,Paper,USD,-48.6
AUDUSD,AUD,,20000.0,20000.0,0.76647,0.76647,0.0,2.0,-198.4,98.8,102.8,Paper,USD,-196.4
GBPUSD,GBP,,20000.0,20000.0,1.4667,1.4667,0.0,2.0,2.8,373.0,379.0,Paper,USD,4.8
USDJPY,USD,,-20000.0,-20000.0,105.965,105.965,0.0,2.0,1.42,-932.44,-928.44,Paper,JPY,3.42
USDCAD,USD,,20000.0,20000.0,1.2528,1.2528,0.0,2.0,-10.98662,230.80532,236.80532,Paper,CAD,-8.98662
CADJPY,CAD,,-20000.0,-20000.0,84.595,84.595,0.0,2.0,-3.62,-554.98,-550.98,Paper,JPY,-1.62
CHFJPY,CHF,,-20000.0,-20000.0,110.956,110.956,0.0,2.0,-6.32,-559.3,-555.3,Paper,JPY,-4.32
EURGBP,EUR,,20000.0,20000.0,0.78609,0.78609,0.0,2.0,-3.7346,-105.7158,-97.7158,Paper,GBP,-1.7346
GBPJPY,GBP,,-20000.0,-20000.0,155.423,155.423,0.0,2.0,-0.559999999998,-883.7,-875.7,Paper,JPY,1.44
