trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance
1.0,-2.0,,,,0.0,,EURUSD,short,,20160425 07:07:04 EST,open,20160425 07:07:04 EST,1.12588,,,0.0,2.0,,EURUSD,,0.0,-2.0,USD,99998.0,2.0,1977482.4,99998.2,100002.2,100000.0
2.0,-2.0,,,,0.0,,EURJPY,long,,20160425 07:10:10 EST,open,20160425 07:10:10 EST,125.068,,,0.0,2.0,,EURJPY,,0.0,2.0,JPY,99996.0,2.0,1954970.16,99990.48,99998.48,100000.0
3.0,-2.0,,,,0.0,,GBPUSD,long,,20160425 07:11:07 EST,open,20160425 07:11:07 EST,1.44619,,,0.0,2.0,,GBPUSD,,0.0,2.0,USD,99994.0,2.0,1926046.36,99986.56,99998.56,100000.0
4.0,-2.0,,,,0.0,,USDCHF,long,,20160425 07:11:21 EST,open,20160425 07:11:21 EST,0.97443,,,0.0,2.0,,USDCHF,,0.0,2.0,CHF,99992.0,2.0,1906053.00526,99982.79338,99998.79338,100000.0
5.0,-2.0,,,,0.0,,USDJPY,long,,20160425 07:11:44 EST,open,20160425 07:11:44 EST,111.114,,,0.0,2.0,,USDJPY,,0.0,2.0,JPY,99990.0,2.0,1886052.48526,99975.83036,99995.83036,100000.0
6.0,-2.0,,,,0.0,,AUDUSD,short,,20160425 07:12:13 EST,open,20160425 07:12:13 EST,0.7716,,,0.0,2.0,,AUDUSD,,0.0,-2.0,USD,99988.0,2.0,1870620.48526,99976.7859,100000.7859,100000.0
7.0,-2.0,,,,0.0,,USDCAD,long,,20160425 07:12:41 EST,open,20160425 07:12:41 EST,1.26778,,,0.0,2.0,,USDCAD,,0.0,2.0,CAD,99986.0,2.0,1850632.66578,99970.52908,99998.52908,100000.0
8.0,-2.0,,,,0.0,,NZDJPY,long,,20160425 07:13:00 EST,open,20160425 07:13:00 EST,76.357,,,0.0,2.0,,NZDJPY,,0.0,2.0,JPY,99984.0,2.0,1836888.40578,99972.8493,100004.8493,100000.0
9.0,-2.0,,,,0.0,,CADJPY,long,,20160425 07:13:21 EST,open,20160425 07:13:21 EST,87.672,,,0.0,2.0,,CADJPY,,0.0,2.0,JPY,99982.0,2.0,1821107.44578,99974.93164,100010.93164,100000.0
10.0,-2.0,,,,0.0,,CHFJPY,long,,20160425 07:13:36 EST,open,20160425 07:13:36 EST,114.042,,,0.0,2.0,,CHFJPY,,0.0,2.0,JPY,99980.0,2.0,1800579.88578,99971.68206,100011.68206,100000.0
11.0,-2.0,,,,0.0,,EURGBP,short,,20160425 07:13:47 EST,open,20160425 07:13:47 EST,0.77767,,,0.0,2.0,,EURGBP,,0.0,-2.0,GBP,99978.0,2.0,1778097.44608,99977.19588,100021.19588,100000.0
12.0,-2.0,,,,0.0,,GBPJPY,long,,20160425 07:13:58 EST,open,20160425 07:13:58 EST,160.854,,,0.0,2.0,,GBPJPY,,0.0,2.0,JPY,99976.0,2.0,1749143.72608,99971.49984,100019.49984,100000.0
13.0,-2.0,,,,0.0,,EURCHF,long,,20160425 07:14:10 EST,open,20160425 07:14:10 EST,1.09694,,,0.0,2.0,,EURCHF,,0.0,2.0,CHF,99974.0,2.0,1726636.71116,99977.84074,100029.84074,100000.0
14.0,-2.0,,,,0.0,,AUDJPY,long,,20160425 07:14:20 EST,open,20160425 07:14:20 EST,85.762,,,0.0,2.0,,AUDJPY,,0.0,2.0,JPY,99972.0,2.0,1711199.55116,99975.0443,100031.0443,100000.0
15.0,-2.0,,,,0.0,,NZDUSD,short,,20160425 07:14:30 EST,open,20160425 07:14:30 EST,0.68713,,,0.0,2.0,,NZDUSD,,0.0,-2.0,USD,99970.0,2.0,1697456.95116,99969.1793,100029.1793,100000.0
