trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl,purebalance,unr_pnl
1.0,-233.54896,20160511 06:56:31 EST,20160511 06:56:31 EST,20160511 06:56:31 EST,4386.16,,#USNDAQ100,long,,20160511 06:24:13 EST,closed,20160511 06:24:13 EST,4388.32,,,2.0,2.0,,#USNDAQ100,,-216.0,-2.0,USD,99775.22768,17.54896,2438616.0,99775.22768,99784.0,,99784.0,
2.0,-1941.58312,20160511 10:39:42 EST,20160511 10:39:42 EST,20160511 10:39:42 EST,4405.4,,#USNDAQ100,short,,20160511 06:56:31 EST,closed,20160511 06:56:31 EST,4386.16,,,2.0,2.0,,#USNDAQ100,,-1924.0,2.0,USD,97842.41688,17.58312,2879156.0,97842.41688,97860.0,,97860.0,
3.0,-6363.49468,20160512 15:55:24 EST,20160512 15:55:24 EST,20160512 15:55:24 EST,4341.94,,#USNDAQ100,long,,20160511 10:39:42 EST,closed,20160511 10:39:42 EST,4405.4,,,2.0,2.0,,#USNDAQ100,,-6346.0,-2.0,USD,91487.733,17.49468,3313350.0,91487.733,91514.0,,91514.0,
4.0,1344.65948,20160513 06:59:49 EST,20160513 06:59:49 EST,20160513 06:59:49 EST,4328.32,,#USNDAQ100,short,,20160512 15:55:24 EST,closed,20160512 15:55:24 EST,4341.94,,,2.0,2.0,,#USNDAQ100,,1362.0,2.0,USD,92841.07636,17.34052,3746182.0,92841.07636,92876.0,,92876.0,
5.0,-531.303,20160513 15:20:42 EST,20160513 15:20:42 EST,20160513 15:20:42 EST,4323.18,,#USNDAQ100,long,,20160513 06:59:49 EST,closed,20160513 06:59:49 EST,4328.32,,,2.0,2.0,,#USNDAQ100,,-514.0,-2.0,USD,92318.43,17.303,4178500.0,92318.43,92362.0,,92362.0,
6.0,-514.30266,20160514 14:54:18 EST,20160514 14:54:18 EST,20160514 14:54:18 EST,4328.15,,#USNDAQ100,short,,20160513 15:20:42 EST,closed,20160513 15:20:42 EST,4323.18,,,2.0,2.0,,#USNDAQ100,,-497.0,2.0,USD,91812.7737,17.30266,4611315.0,91812.7737,91865.0,,91865.0,
7.0,-257.3078,20160515 04:53:26 EST,20160515 04:53:26 EST,20160515 04:53:26 EST,4325.75,,#USNDAQ100,long,,20160514 14:54:18 EST,closed,20160514 14:54:18 EST,4328.15,,,2.0,2.0,,#USNDAQ100,,-240.0,-2.0,USD,91564.1222,17.3078,5043890.0,91564.1222,91625.0,,91625.0,
8.0,-257.3078,20160515 05:13:48 EST,20160515 05:13:48 EST,20160515 05:13:48 EST,4328.15,,#USNDAQ100,short,,20160515 04:53:26 EST,closed,20160515 04:53:26 EST,4325.75,,,2.0,2.0,,#USNDAQ100,,-240.0,2.0,USD,91315.4659,17.3078,5476705.0,91315.4659,91385.0,,91385.0,
9.0,-257.3078,20160515 08:35:02 EST,20160515 08:35:02 EST,20160515 08:35:02 EST,4325.75,,#USNDAQ100,long,,20160515 05:13:48 EST,closed,20160515 05:13:48 EST,4328.15,,,2.0,2.0,,#USNDAQ100,,-240.0,-2.0,USD,91066.8144,17.3078,5909280.0,91066.8144,91145.0,,91145.0,
10.0,-257.3078,20160516 00:13:50 EST,20160516 00:13:50 EST,20160516 00:13:50 EST,4328.15,,#USNDAQ100,short,,20160515 08:35:02 EST,closed,20160515 08:35:02 EST,4325.75,,,2.0,2.0,,#USNDAQ100,,-240.0,2.0,USD,90818.1581,17.3078,6342095.0,90818.1581,90905.0,,90905.0,
11.0,277.6815,20160516 09:08:21 EST,20160516 09:08:21 EST,20160516 09:08:21 EST,4331.1,,#USNDAQ100,long,,20160516 00:13:50 EST,closed,20160516 00:13:50 EST,4328.15,,,2.0,2.0,,#USNDAQ100,,295.0,-2.0,USD,91104.4959,17.3185,6775205.0,91104.4959,91200.0,,91200.0,
12.0,-1153.34712,20160516 10:03:53 EST,20160516 10:03:53 EST,20160516 10:03:53 EST,4342.46,,#USNDAQ100,short,,20160516 09:08:21 EST,closed,20160516 09:08:21 EST,4331.1,,,2.0,2.0,,#USNDAQ100,,-1136.0,2.0,USD,89959.81098,17.34712,7209451.0,89959.81098,90064.0,,90064.0,
13.0,3815.5535,20160517 05:32:42 EST,20160517 05:32:42 EST,20160517 05:32:42 EST,4380.79,,#USNDAQ100,long,,20160516 10:03:53 EST,closed,20160516 10:03:53 EST,4342.46,,,2.0,2.0,,#USNDAQ100,,3833.0,-2.0,USD,93784.0494,17.4465,7647530.0,93784.0494,93897.0,,93897.0,
14.0,6256.60232,20160518 06:56:44 EST,20160518 06:56:44 EST,20160518 06:56:44 EST,4318.05,,#USNDAQ100,short,,20160517 05:32:42 EST,closed,20160517 05:32:42 EST,4380.79,,,2.0,2.0,,#USNDAQ100,,6274.0,2.0,USD,100049.4133,17.39768,8079335.0,100049.4133,100171.0,,100171.0,
15.0,-655.25944,20160518 09:30:31 EST,20160518 09:30:31 EST,20160518 09:30:31 EST,4311.67,,#USNDAQ100,long,,20160518 06:56:44 EST,closed,20160518 06:56:44 EST,4318.05,,,2.0,2.0,,#USNDAQ100,,-638.0,-2.0,USD,99402.78996,17.25944,8510502.0,99402.78996,99533.0,,99533.0,
16.0,-3288.3121,20160518 12:41:22 EST,20160518 12:41:22 EST,20160518 12:41:22 EST,4344.38,,#USNDAQ100,short,,20160518 09:30:31 EST,closed,20160518 09:30:31 EST,4311.67,,,2.0,2.0,,#USNDAQ100,,-3271.0,2.0,USD,96123.1012,17.3121,8944940.0,96123.1012,96262.0,,96262.0,
