permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl,mark_to_mkt,pure_mark_to_mkt
1,Paper,Paper,22.6234,USD,IDEALPRO,1.0,,,1.0,1.13117,1000000.0,1000000.0,-22.6234,BOT,EUR,USD,20160330 08:35:27 EST,,0.0,19977.3766,-731170.0,1.13117,20000.0,-22.6234,,
2,Paper,Paper,22.43032,USD,IDEALPRO,2.0,,,1.0,127.445,1000000.0,1000000.0,-22.43032,BOT,EUR,JPY,20160330 08:35:52 EST,,0.0,19954.94628,-1852686.0,127.445,20000.0,-22.43032,,
3,Paper,Paper,28.812,USD,IDEALPRO,3.0,,,1.0,1.4406,1000000.0,1000000.0,-28.812,BOT,GBP,USD,20160330 08:36:42 EST,,0.0,19926.13428,-3293286.0,1.4406,20000.0,-28.812,,
4,Paper,Paper,19.530399,USD,IDEALPRO,4.0,,,1.0,0.96475,1000000.0,-1000000.0,-19.530399,SLD,USD,CHF,20160330 08:36:47 EST,,0.0,19906.603881,-4269805.95,0.96475,20000.0,-19.530399,,
5,Paper,Paper,19.826048,USD,IDEALPRO,5.0,,,1.0,112.648,1000000.0,-1000000.0,-19.826048,SLD,USD,JPY,20160330 08:36:53 EST,,0.0,19886.777833,-5261108.35,112.648,20000.0,-19.826048,,
6,Paper,Paper,15.3516,USD,IDEALPRO,6.0,,,1.0,0.76758,1000000.0,1000000.0,-15.3516,BOT,AUD,USD,20160330 08:36:58 EST,,0.0,19871.426233,-6028688.35,0.76758,20000.0,-15.3516,,
7,Paper,Paper,19.43598752,USD,IDEALPRO,7.0,,,1.0,1.30024,1000000.0,-1000000.0,-19.43598752,SLD,USD,CAD,20160330 08:37:03 EST,,0.0,19851.9902455,-7000487.726,1.30024,20000.0,-19.43598752,,
8,Paper,Paper,13.736624,USD,IDEALPRO,8.0,,,1.0,78.049,1000000.0,1000000.0,-13.736624,BOT,NZD,JPY,20160330 08:37:06 EST,,0.0,19838.2536215,-7687318.926,78.049,20000.0,-13.736624,,
9,Paper,Paper,15.250048,USD,IDEALPRO,9.0,,,1.0,86.648,1000000.0,1000000.0,-15.250048,BOT,CAD,JPY,20160330 08:37:09 EST,,0.0,19823.0035735,-8449821.326,86.648,20000.0,-15.250048,,
10,Paper,Paper,20.552928,USD,IDEALPRO,10.0,,,1.0,116.778,1000000.0,1000000.0,-20.552928,BOT,CHF,JPY,20160330 08:37:13 EST,,0.0,19802.4506455,-9477467.726,116.778,20000.0,-20.552928,,
11,Paper,Paper,22.1547235,USD,IDEALPRO,11.0,,,1.0,0.78535,1000000.0,-1000000.0,-22.1547235,SLD,EUR,GBP,20160330 08:37:16 EST,,0.0,19780.295922,-10585203.901,0.78535,20000.0,-22.1547235,,
12,Paper,Paper,28.556528,USD,IDEALPRO,12.0,,,1.0,162.253,1000000.0,-1000000.0,-28.556528,SLD,GBP,JPY,20160330 08:37:19 EST,,0.0,19751.739394,-12013030.301,162.253,20000.0,-28.556528,,
13,Paper,Paper,22.09247964,USD,IDEALPRO,13.0,,,1.0,1.09131,1000000.0,1000000.0,-22.09247964,BOT,EUR,CHF,20160330 08:37:22 EST,,0.0,19729.6469144,-13117654.283,1.09131,20000.0,-22.09247964,,
14,Paper,Paper,15.219072,USD,IDEALPRO,14.0,,,1.0,86.472,1000000.0,-1000000.0,-15.219072,SLD,AUD,JPY,20160330 08:37:25 EST,,0.0,19714.4278424,-13878607.883,86.472,20000.0,-15.219072,,
15,Paper,Paper,13.8586,USD,IDEALPRO,15.0,,,1.0,0.69293,1000000.0,1000000.0,-13.8586,BOT,NZD,USD,20160330 08:37:26 EST,,0.0,19700.5692424,-14571537.883,0.69293,20000.0,-13.8586,,
16,Paper,Paper,15.19672,USD,IDEALPRO,16.0,,,1.0,86.345,2000000.0,1000000.0,1102.40328,BOT,AUD,JPY,20160330 09:03:31 EST,,1117.6,20802.9725224,-14571537.883,86.345,21117.6,1102.40328,,
17,Paper,Paper,22.6188,USD,IDEALPRO,17.0,,,1.0,1.13094,2000000.0,-1000000.0,-252.6188,SLD,EUR,USD,20160330 09:42:05 EST,,-230.0,20550.3537224,-14571537.883,1.13094,20887.6,-252.6188,,
18,Paper,Paper,28.566736,USD,IDEALPRO,18.0,,,1.0,162.311,2000000.0,1000000.0,-538.966736,BOT,GBP,JPY,20160330 09:43:37 EST,,-510.4,20011.3869864,-14571537.883,162.311,20377.2,-538.966736,,
19,Paper,Paper,22.6542,USD,IDEALPRO,19.0,,,1.0,1.13271,2000000.0,1000000.0,-1792.6542,BOT,EUR,USD,20160330 10:06:32 EST,,-1770.0,18218.7327864,-14571537.883,1.13271,18607.2,-1792.6542,,
20,Paper,Paper,22.08377472,USD,IDEALPRO,20.0,,,1.0,1.09088,2000000.0,-1000000.0,-457.32977472,SLD,EUR,CHF,20160330 10:16:11 EST,,-435.246,17761.4030117,-14571537.883,1.09088,18171.954,-457.32977472,,
21,Paper,Paper,22.06818684,USD,IDEALPRO,21.0,,,1.0,1.09011,2000000.0,1000000.0,757.32581316,BOT,EUR,CHF,20160330 10:38:35 EST,,779.394,18518.7288249,-14571537.883,1.09011,18951.348,757.32581316,,
22,Paper,Paper,22.1826514,USD,IDEALPRO,22.0,,,1.0,0.78634,2000000.0,1000000.0,-1418.5776514,BOT,EUR,GBP,20160330 11:03:03 EST,,-1396.395,17100.1511735,-14571537.883,0.78634,17554.953,-1418.5776514,,
23,Paper,Paper,22.11576024,USD,IDEALPRO,23.0,,,1.0,1.09246,2000000.0,-1000000.0,2356.55423976,SLD,EUR,CHF,20160330 11:03:04 EST,,2378.67,19456.7054133,-14571537.883,1.09246,19933.623,2356.55423976,,
24,Paper,Paper,22.6508,USD,IDEALPRO,24.0,,,1.0,1.13254,2000000.0,-1000000.0,-192.6508,SLD,EUR,USD,20160330 11:58:23 EST,,-170.0,19264.0546133,-14571537.883,1.13254,19763.623,-192.6508,,
25,Paper,Paper,19.50387936,USD,IDEALPRO,25.0,,,1.0,0.96344,2000000.0,1000000.0,1306.47812064,BOT,USD,CHF,20160330 12:31:28 EST,,1325.982,20570.5327339,-14571537.883,0.96344,21089.605,1306.47812064,,
26,Paper,Paper,22.2111435,USD,IDEALPRO,26.0,,,1.0,0.78735,2000000.0,-1000000.0,1402.3938565,SLD,EUR,GBP,20160330 12:34:32 EST,,1424.605,21972.9265904,-14571537.883,0.78735,22514.21,1402.3938565,,
27,Paper,Paper,22.659,USD,IDEALPRO,27.0,,,1.0,1.13295,2000000.0,1000000.0,-432.659,BOT,EUR,USD,20160330 12:43:11 EST,,-410.0,21540.2675904,-14571537.883,1.13295,22104.21,-432.659,,
28,Paper,Paper,28.495456,USD,IDEALPRO,28.0,,,1.0,161.906,2000000.0,-1000000.0,-3592.495456,SLD,GBP,JPY,20160330 12:51:17 EST,,-3564.0,17947.7721344,-14571537.883,161.906,18540.21,-3592.495456,,
29,Paper,Paper,22.0943016,USD,IDEALPRO,29.0,,,1.0,1.0914,2000000.0,1000000.0,1050.8376984,BOT,EUR,CHF,20160330 12:53:22 EST,,1072.932,18998.6098328,-14571537.883,1.0914,19613.142,1050.8376984,,
30,Paper,Paper,19.50691596,USD,IDEALPRO,30.0,,,1.0,0.96359,2000000.0,-1000000.0,132.32308404,SLD,USD,CHF,20160330 13:10:10 EST,,151.83,19130.9329168,-14571537.883,0.96359,19764.972,132.32308404,,
31,Paper,Paper,22.2300442,USD,IDEALPRO,31.0,,,1.0,0.78802,2000000.0,1000000.0,-967.2650442,BOT,EUR,GBP,20160330 13:21:52 EST,,-945.035,18163.6678726,-14571537.883,0.78802,18819.937,-967.2650442,,
32,Paper,Paper,22.226659,USD,IDEALPRO,32.0,,,1.0,0.7879,2000000.0,-1000000.0,-191.486659,SLD,EUR,GBP,20160330 13:36:06 EST,,-169.26,17972.1812136,-14571537.883,0.7879,18650.677,-191.486659,,
33,Paper,Paper,22.6372,USD,IDEALPRO,33.0,,,1.0,1.13186,2000000.0,-1000000.0,-1112.6372,SLD,EUR,USD,20160330 13:38:09 EST,,-1090.0,16859.5440136,-14571537.883,1.13186,17560.677,-1112.6372,,
34,Paper,Paper,28.46272,USD,IDEALPRO,34.0,,,1.0,161.72,2000000.0,1000000.0,1608.33728,BOT,GBP,JPY,20160330 13:40:11 EST,,1636.8,18467.8812936,-14571537.883,161.72,19197.477,1608.33728,,
35,Paper,Paper,22.2241201,USD,IDEALPRO,35.0,,,1.0,0.78781,2000000.0,1000000.0,104.7208799,BOT,EUR,GBP,20160330 14:00:28 EST,,126.945,18572.6021735,-14571537.883,0.78781,19324.422,104.7208799,,
36,Paper,Paper,22.6426,USD,IDEALPRO,36.0,,,1.0,1.13213,2000000.0,1000000.0,-292.6426,BOT,EUR,USD,20160330 14:08:33 EST,,-270.0,18279.9595735,-14571537.883,1.13213,19054.422,-292.6426,,
37,Paper,Paper,22.10381628,USD,IDEALPRO,37.0,,,1.0,1.09187,2000000.0,-1000000.0,453.63018372,SLD,EUR,CHF,20160330 14:26:54 EST,,475.734,18733.5897572,-14571537.883,1.09187,19530.156,453.63018372,,
38,Paper,Paper,22.2241201,USD,IDEALPRO,38.0,,,1.0,0.78781,2000000.0,-1000000.0,-22.2241201,SLD,EUR,GBP,20160330 14:30:59 EST,,0.0,18711.3656371,-14571537.883,0.78781,19530.156,-22.2241201,,
39,Paper,Paper,15.173136,USD,IDEALPRO,39.0,,,1.0,86.211,2000000.0,-1000000.0,-1194.373136,SLD,AUD,JPY,20160330 14:39:08 EST,,-1179.2,17516.9925011,-14571537.883,86.211,18350.956,-1194.373136,,
40,Paper,Paper,28.458144,USD,IDEALPRO,40.0,,,1.0,161.694,2000000.0,-1000000.0,-257.258144,SLD,GBP,JPY,20160330 14:45:13 EST,,-228.8,17259.7343571,-14571537.883,161.694,18122.156,-257.258144,,
41,Paper,Paper,15.26096,USD,IDEALPRO,41.0,,,1.0,86.71,2000000.0,-1000000.0,530.33904,SLD,CAD,JPY,20160330 14:46:46 EST,,545.6,17790.0733971,-14571537.883,86.71,18667.756,530.33904,,
42,Paper,Paper,22.6598,USD,IDEALPRO,42.0,,,1.0,1.13299,2000000.0,-1000000.0,837.3402,SLD,EUR,USD,20160330 15:05:37 EST,,860.0,18627.4135971,-14571537.883,1.13299,19527.756,837.3402,,
43,Paper,Paper,28.459552,USD,IDEALPRO,43.0,,,1.0,161.702,2000000.0,1000000.0,-98.8595520001,BOT,GBP,JPY,20160330 15:11:46 EST,,-70.4000000001,18528.5540451,-14571537.883,161.702,19457.356,-98.8595520001,,
44,Paper,Paper,19.792432,USD,IDEALPRO,44.0,,,1.0,112.457,2000000.0,1000000.0,1661.007568,BOT,USD,JPY,20160330 15:14:51 EST,,1680.8,20189.5616131,-14571537.883,112.457,21138.156,1661.007568,,
45,Paper,Paper,19.786976,USD,IDEALPRO,45.0,,,1.0,112.426,2000000.0,-1000000.0,-292.586976,SLD,USD,JPY,20160330 15:39:43 EST,,-272.8,19896.9746371,-14571537.883,112.426,20865.356,-292.586976,,
46,Paper,Paper,22.2354041,USD,IDEALPRO,46.0,,,1.0,0.78821,2000000.0,1000000.0,-586.4354041,BOT,EUR,GBP,20160330 15:44:19 EST,,-564.2,19310.539233,-14571537.883,0.78821,20301.156,-586.4354041,,
47,Paper,Paper,22.2339936,USD,IDEALPRO,47.0,,,1.0,0.78816,2000000.0,-1000000.0,-92.7589936001,SLD,EUR,GBP,20160330 15:56:27 EST,,-70.5250000001,19217.7802394,-14571537.883,0.78816,20230.631,-92.7589936001,,
48,Paper,Paper,22.13094324,USD,IDEALPRO,48.0,,,1.0,1.09321,2000000.0,1000000.0,-1378.47894324,BOT,EUR,CHF,20160330 15:59:00 EST,,-1356.348,17839.3012962,-14571537.883,1.09321,18874.283,-1378.47894324,,
49,Paper,Paper,15.177888,USD,IDEALPRO,49.0,,,1.0,86.238,2000000.0,1000000.0,-252.777888,BOT,AUD,JPY,20160330 16:07:41 EST,,-237.6,17586.5234082,-14571537.883,86.238,18636.683,-252.777888,,
50,Paper,Paper,19.790496,USD,IDEALPRO,50.0,,,1.0,112.446,2000000.0,1000000.0,-195.790496,BOT,USD,JPY,20160330 16:18:52 EST,,-176.0,17390.7329122,-14571537.883,112.446,18460.683,-195.790496,,
51,Paper,Paper,22.14470916,USD,IDEALPRO,51.0,,,1.0,1.09389,2000000.0,-1000000.0,666.15129084,SLD,EUR,CHF,20160330 16:35:43 EST,,688.296,18056.884203,-14571537.883,1.09389,19148.979,666.15129084,,
52,Paper,Paper,15.177712,USD,IDEALPRO,52.0,,,1.0,86.237,2000000.0,-1000000.0,-23.977712,SLD,AUD,JPY,20160330 16:36:14 EST,,-8.80000000004,18032.906491,-14571537.883,86.237,19140.179,-23.977712,,
53,Paper,Paper,15.3454,USD,IDEALPRO,53.0,,,1.0,0.76727,2000000.0,-1000000.0,-325.3454,SLD,AUD,USD,20160330 16:43:23 EST,,-310.0,17707.561091,-14571537.883,0.76727,18830.179,-325.3454,,
54,Paper,Paper,15.276976,USD,IDEALPRO,54.0,,,1.0,86.801,2000000.0,1000000.0,-816.076976,BOT,CAD,JPY,20160330 17:15:17 EST,,-800.8,16891.484115,-14571537.883,86.801,18029.379,-816.076976,,
55,Paper,Paper,15.178416,USD,IDEALPRO,55.0,,,1.0,86.241,2000000.0,1000000.0,-50.3784159999,BOT,AUD,JPY,20160330 17:15:19 EST,,-35.1999999999,16841.105699,-14571537.883,86.241,17994.179,-50.3784159999,,
56,Paper,Paper,22.14329208,USD,IDEALPRO,56.0,,,1.0,1.09382,2000000.0,1000000.0,48.71070792,BOT,EUR,CHF,20160330 17:26:06 EST,,70.854,16889.8164069,-14571537.883,1.09382,18065.033,48.71070792,,
57,Paper,Paper,19.7868,USD,IDEALPRO,57.0,,,1.0,112.425,2000000.0,-1000000.0,-204.5868,SLD,USD,JPY,20160330 17:27:40 EST,,-184.8,16685.2296069,-14571537.883,112.425,17880.233,-204.5868,,
58,Paper,Paper,22.2390714,USD,IDEALPRO,58.0,,,1.0,0.78834,2000000.0,1000000.0,-276.1290714,BOT,EUR,GBP,20160330 18:04:43 EST,,-253.89,16409.1005355,-14571537.883,0.78834,17626.343,-276.1290714,,
59,Paper,Paper,19.54112832,USD,IDEALPRO,59.0,,,1.0,0.96528,2000000.0,1000000.0,-1730.15912832,BOT,USD,CHF,20160330 19:00:05 EST,,-1710.618,14678.9414072,-14571537.883,0.96528,15915.725,-1730.15912832,,
60,Paper,Paper,19.53606732,USD,IDEALPRO,60.0,,,1.0,0.96503,2000000.0,-1000000.0,-272.58606732,SLD,USD,CHF,20160330 19:08:15 EST,,-253.05,14406.3553399,-14571537.883,0.96503,15662.675,-272.58606732,,
61,Paper,Paper,22.2399177,USD,IDEALPRO,61.0,,,1.0,0.78837,2000000.0,-1000000.0,20.0750823001,SLD,EUR,GBP,20160330 19:08:19 EST,,42.3150000001,14426.4304222,-14571537.883,0.78837,15704.99,20.0750823001,,
62,Paper,Paper,22.2461239,USD,IDEALPRO,62.0,,,1.0,0.78859,2000000.0,1000000.0,-332.5561239,BOT,EUR,GBP,20160330 19:34:45 EST,,-310.31,14093.8742983,-14571537.883,0.78859,15394.68,-332.5561239,,
63,Paper,Paper,22.677,USD,IDEALPRO,63.0,,,1.0,1.13385,2000000.0,1000000.0,-882.677,BOT,EUR,USD,20160330 20:15:29 EST,,-860.0,13211.1972983,-14571537.883,1.13385,14534.68,-882.677,,
64,Paper,Paper,19.52958924,USD,IDEALPRO,64.0,,,1.0,0.96471,2000000.0,1000000.0,304.37441076,BOT,USD,CHF,20160330 20:27:39 EST,,323.904,13515.5717091,-14571537.883,0.96471,14858.584,304.37441076,,
65,Paper,Paper,22.669,USD,IDEALPRO,65.0,,,1.0,1.13345,2000000.0,-1000000.0,-422.669,SLD,EUR,USD,20160330 20:31:47 EST,,-400.0,13092.9027091,-14571537.883,1.13345,14458.584,-422.669,,
66,Paper,Paper,15.332,USD,IDEALPRO,66.0,,,1.0,0.7666,2000000.0,1000000.0,654.668,BOT,AUD,USD,20160330 20:31:47 EST,,670.0,13747.5707091,-14571537.883,0.7666,15128.584,654.668,,
67,Paper,Paper,28.405344,USD,IDEALPRO,67.0,,,1.0,161.394,2000000.0,-1000000.0,-2738.805344,SLD,GBP,JPY,20160330 20:44:28 EST,,-2710.4,11008.7653651,-14571537.883,161.394,12418.184,-2738.805344,,
68,Paper,Paper,22.6572,USD,IDEALPRO,68.0,,,1.0,1.13286,2000000.0,1000000.0,567.3428,BOT,EUR,USD,20160330 21:00:14 EST,,590.0,11576.1081651,-14571537.883,1.13286,13008.184,567.3428,,
69,Paper,Paper,22.13458716,USD,IDEALPRO,69.0,,,1.0,1.09339,2000000.0,-1000000.0,-457.38058716,SLD,EUR,CHF,20160330 21:02:48 EST,,-435.246,11118.7275779,-14571537.883,1.09339,12572.938,-457.38058716,,
70,Paper,Paper,22.2444313,USD,IDEALPRO,70.0,,,1.0,0.78853,2000000.0,-1000000.0,-106.8744313,SLD,EUR,GBP,20160330 21:15:03 EST,,-84.6300000001,11011.8531466,-14571537.883,0.78853,12488.308,-106.8744313,,
71,Paper,Paper,15.3028,USD,IDEALPRO,71.0,,,1.0,0.76514,2000000.0,-1000000.0,-1475.3028,SLD,AUD,USD,20160330 21:25:16 EST,,-1460.0,9536.5503466,-14571537.883,0.76514,11028.308,-1475.3028,,
72,Paper,Paper,22.6388,USD,IDEALPRO,72.0,,,1.0,1.13194,2000000.0,-1000000.0,-942.6388,SLD,EUR,USD,20160330 21:32:59 EST,,-920.0,8593.9115466,-14571537.883,1.13194,10108.308,-942.6388,,
73,Paper,Paper,22.2300442,USD,IDEALPRO,73.0,,,1.0,0.78802,2000000.0,1000000.0,697.1249558,BOT,EUR,GBP,20160330 21:39:38 EST,,719.355,9291.0365024,-14571537.883,0.78802,10827.663,697.1249558,,
74,Paper,Paper,28.706,USD,IDEALPRO,74.0,,,1.0,1.4353,2000000.0,-1000000.0,-5328.706,SLD,GBP,USD,20160330 21:59:55 EST,,-5300.0,3962.3305024,-14571537.883,1.4353,5527.663,-5328.706,,
75,Paper,Paper,22.645,USD,IDEALPRO,75.0,,,1.0,1.13225,2000000.0,1000000.0,-332.645,BOT,EUR,USD,20160330 22:23:44 EST,,-310.0,3629.6855024,-14571537.883,1.13225,5217.663,-332.645,,
76,Paper,Paper,22.2562795,USD,IDEALPRO,76.0,,,1.0,0.78895,2000000.0,-1000000.0,1289.5087205,SLD,EUR,GBP,20160330 22:45:10 EST,,1311.765,4919.1942229,-14571537.883,0.78895,6529.428,1289.5087205,,
77,Paper,Paper,22.2543048,USD,IDEALPRO,77.0,,,1.0,0.78888,2000000.0,1000000.0,76.4806952,BOT,EUR,GBP,20160330 22:47:11 EST,,98.735,4995.6749181,-14571537.883,0.78888,6628.163,76.4806952,,
78,Paper,Paper,22.12608468,USD,IDEALPRO,78.0,,,1.0,1.09297,2000000.0,1000000.0,402.99791532,BOT,EUR,CHF,20160330 22:57:19 EST,,425.124,5398.67283342,-14571537.883,1.09297,7053.287,402.99791532,,
79,Paper,Paper,22.2630499,USD,IDEALPRO,79.0,,,1.0,0.78919,2000000.0,-1000000.0,414.9919501,SLD,EUR,GBP,20160330 23:21:49 EST,,437.255,5813.66478352,-14571537.883,0.78919,7490.542,414.9919501,,
80,Paper,Paper,22.2647425,USD,IDEALPRO,80.0,,,1.0,0.78925,2000000.0,1000000.0,-106.8947425,BOT,EUR,GBP,20160330 23:44:18 EST,,-84.6300000001,5706.77004102,-14571537.883,0.78925,7405.912,-106.8947425,,
81,Paper,Paper,22.632,USD,IDEALPRO,81.0,,,1.0,1.1316,2000000.0,-1000000.0,-672.632,SLD,EUR,USD,20160330 23:57:30 EST,,-650.0,5034.13804102,-14571537.883,1.1316,6755.912,-672.632,,
82,Paper,Paper,22.6326,USD,IDEALPRO,82.0,,,1.0,1.13163,2000000.0,1000000.0,-52.6326,BOT,EUR,USD,20160331 00:11:42 EST,,-30.0,4981.50544102,-14571537.883,1.13163,6725.912,-52.6326,,
83,Paper,Paper,22.2574079,USD,IDEALPRO,83.0,,,1.0,0.78899,2000000.0,-1000000.0,-388.9874079,SLD,EUR,GBP,20160331 00:33:28 EST,,-366.73,4592.51803312,-14571537.883,0.78899,6359.182,-388.9874079,,
84,Paper,Paper,15.12632,USD,IDEALPRO,84.0,,,1.0,85.945,2000000.0,-1000000.0,-2619.92632,SLD,AUD,JPY,20160331 00:35:32 EST,,-2604.8,1972.59171312,-14571537.883,85.945,3754.382,-2619.92632,,
85,Paper,Paper,22.2593826,USD,IDEALPRO,85.0,,,1.0,0.78906,2000000.0,1000000.0,-120.9943826,BOT,EUR,GBP,20160331 00:54:02 EST,,-98.735,1851.59733052,-14571537.883,0.78906,3655.647,-120.9943826,,
