Date,accountid,balance,buy_power,unr_pnl,real_pnl,currency
20160316 12:49:03 EST,paperUSD,10000.0,30000.0,0,0.0,USD
20160316 12:49:03 EST,paperUSD,9998.0,18934.1,0,-2.0,USD
20160316 12:49:03 EST,paperUSD,9996.0,7863.612,0,-4.0,USD
20160316 12:49:03 EST,paperUSD,9994.0,-6229.888,0,-6.0,USD
20160316 12:49:03 EST,paperUSD,9992.0,-16246.92286,0,-8.0,USD
20160316 12:49:03 EST,paperUSD,9990.0,-26251.64286,0,-10.0,USD
20160316 12:49:04 EST,paperUSD,9988.0,-33684.04286,0,-12.0,USD
20160316 12:49:04 EST,paperUSD,9986.0,-43670.5027,0,-14.0,USD
20160316 12:49:13 EST,paperUSD,9982.8,-21537.5027,0,-17.2,USD
20160316 12:49:25 EST,paperUSD,9981.99584,-1565.77886,0,-18.00416,USD
20160316 12:49:37 EST,paperUSD,9981.16917339,18442.4878066,0,-18.830826608,USD
20160316 12:50:13 EST,paperUSD,9980.36917339,40574.2878066,0,-19.630826608,USD
20160316 12:50:29 EST,paperUSD,9980.25861338,60606.4680866,0,-19.7413866148,USD
20160316 12:50:35 EST,paperUSD,9977.04616892,80615.9080866,0,-22.9538310788,USD
20160316 12:51:14 EST,paperUSD,9970.37950232,102752.374753,0,-29.6204976788,USD
20160316 12:51:35 EST,paperUSD,9973.12498381,122757.069272,0,-26.8750161908,USD
20160316 12:52:14 EST,paperUSD,9975.74720601,144888.869272,0,-24.2527939908,USD
20160316 12:52:35 EST,paperUSD,9968.88004551,164898.309272,0,-31.1199544868,USD
20160316 12:53:24 EST,paperUSD,9965.88351213,184871.228952,0,-34.11648787,USD
20160316 12:54:24 EST,paperUSD,9965.01291664,204843.019227,0,-34.9870833591,USD
20160316 12:54:36 EST,paperUSD,9967.68597008,224847.786174,0,-32.3140299191,USD
20160316 12:55:12 EST,paperUSD,9958.41189608,246986.860248,0,-41.5881039191,USD
20160316 12:55:23 EST,paperUSD,9953.44444124,266959.779928,0,-46.5555587561,USD
20160316 12:56:14 EST,paperUSD,9967.33579924,289091.579928,0,-32.6642007561,USD
20160316 12:56:23 EST,paperUSD,9972.70276424,309057.132643,0,-27.2972357606,USD
20160316 12:56:29 EST,paperUSD,9960.2208709,329091.202363,0,-39.7791290984,USD
20160316 12:57:10 EST,paperUSD,9938.1237515,351243.099482,0,-61.8762484984,USD
20160316 12:57:20 EST,paperUSD,9927.98785645,371216.019162,0,-72.0121435467,USD
20160316 12:57:31 EST,paperUSD,9915.27817197,391225.459162,0,-84.7218280267,USD
20160316 12:58:11 EST,paperUSD,9937.84387837,413357.259162,0,-62.1561216267,USD
20160316 12:58:24 EST,paperUSD,9953.10376282,433374.068998,0,-46.896237174,USD
20160316 12:59:36 EST,paperUSD,9961.00965759,453373.603103,0,-38.990342406,USD
20160316 13:02:15 EST,paperUSD,9929.88775539,475534.525005,0,-70.112244606,USD
20160316 13:02:32 EST,paperUSD,9945.34841374,495489.984027,0,-54.6515862566,USD
20160316 13:02:58 EST,paperUSD,9932.41978209,515499.424027,0,-67.5802179046,USD
20160316 13:04:15 EST,paperUSD,9938.95311543,530364.224027,0,-61.0468845646,USD
20160316 13:04:22 EST,paperUSD,9970.92708283,552496.024027,0,-29.0729171646,USD
20160316 13:04:39 EST,paperUSD,9946.66406333,572468.943707,0,-53.3359366642,USD
20160316 13:04:54 EST,paperUSD,9954.40827394,592468.639496,0,-45.5917260562,USD
20160316 13:06:13 EST,paperUSD,9941.5638295,607344.28394,0,-58.4361704962,USD
20160316 13:06:44 EST,paperUSD,9962.231796,627294.535654,0,-37.7682039963,USD
20160316 13:06:53 EST,paperUSD,9940.57762118,647328.605374,0,-59.4223788206,USD
20160316 13:07:02 EST,paperUSD,9930.40155104,667338.045374,0,-69.5984489646,USD
20160316 13:10:30 EST,paperUSD,9897.87689524,689500.37003,0,-102.123104765,USD
20160316 13:11:24 EST,paperUSD,9898.48491868,709507.202007,0,-101.515081325,USD
20160316 13:13:22 EST,paperUSD,9905.96640016,724372.002007,0,-94.033599845,USD
20160316 13:13:24 EST,paperUSD,9929.87461876,746503.802007,0,-70.125381245,USD
20160316 13:13:30 EST,paperUSD,9907.36369664,766476.721687,0,-92.6363033618,USD
20160316 13:13:34 EST,paperUSD,9904.96368877,786486.161687,0,-95.0363112338,USD
20160316 13:15:57 EST,paperUSD,9921.26079609,806440.78426,0,-78.7392039114,USD
20160316 13:19:53 EST,paperUSD,9899.2102936,826413.70394,0,-100.789706402,USD
20160316 13:21:34 EST,paperUSD,9875.7742208,848566.940013,0,-124.225779202,USD
20160316 13:23:58 EST,paperUSD,9901.8831883,868511.750726,0,-98.1168117051,USD
20160316 13:24:09 EST,paperUSD,9914.9370599,888530.766574,0,-85.0629401037,USD
20160316 13:25:52 EST,paperUSD,9883.3377774,908503.686254,0,-116.662222603,USD
20160316 13:26:01 EST,paperUSD,9867.00758019,928537.755974,0,-132.99241981,USD
20160316 13:27:18 EST,paperUSD,9883.08627119,950669.555974,0,-116.91372881,USD
20160316 13:28:02 EST,paperUSD,9874.29694042,970685.785305,0,-125.703059578,USD
20160316 13:29:26 EST,paperUSD,9857.33737682,992832.544869,0,-142.662623178,USD
20160316 13:31:13 EST,paperUSD,9868.85723142,1014964.34487,0,-131.142768578,USD
20160316 13:31:36 EST,paperUSD,9876.39500828,1034973.78487,0,-123.604991714,USD
20160316 13:32:27 EST,paperUSD,9888.88886068,1054993.36074,0,-111.111139318,USD
20160316 13:32:30 EST,paperUSD,9875.96560178,1075013.724,0,-124.034398214,USD
20160316 13:33:08 EST,paperUSD,9860.52565018,1097158.96395,0,-139.474349814,USD
20160316 13:33:14 EST,paperUSD,9885.43279773,1117104.97648,0,-114.567202265,USD
20160316 13:34:20 EST,paperUSD,9895.75655075,1137114.41648,0,-104.243449241,USD
20160316 13:35:06 EST,paperUSD,9909.03653455,1159246.21648,0,-90.963465441,USD
20160316 13:35:12 EST,paperUSD,9880.22953875,1179219.13616,0,-119.770461241,USD
20160316 13:35:15 EST,paperUSD,9864.22097461,1199253.20588,0,-135.77902538,USD
20160316 13:35:20 EST,paperUSD,9848.8437236,1219276.02313,0,-151.156276388,USD
20160316 13:36:32 EST,paperUSD,9861.77020497,1239295.16637,0,-138.229795015,USD
20160316 13:37:09 EST,paperUSD,9844.01021037,1261442.72636,0,-155.989789615,USD
20160316 13:37:19 EST,paperUSD,9824.88831657,1281476.79608,0,-175.111683413,USD
20160316 13:39:14 EST,paperUSD,9854.14632855,1301418.45775,0,-145.85367143,USD
20160316 13:39:17 EST,paperUSD,9869.05530648,1321435.61849,0,-130.944693497,USD
20160316 13:39:21 EST,paperUSD,9881.95705682,1341445.05849,0,-118.042943161,USD
20160316 13:40:07 EST,paperUSD,9897.21038842,1363576.85849,0,-102.789611561,USD
20160316 13:40:13 EST,paperUSD,9866.05622448,1383549.77817,0,-133.943775506,USD
20160316 13:41:17 EST,paperUSD,9847.59030776,1403575.68409,0,-152.409692226,USD
20160316 13:43:13 EST,paperUSD,9817.70586396,1425735.36853,0,-182.294136026,USD
20160316 13:43:20 EST,paperUSD,9847.34765194,1445676.64642,0,-152.652348044,USD
20160316 13:43:30 EST,paperUSD,9855.17762418,1465686.08642,0,-144.822375804,USD
20160316 13:44:14 EST,paperUSD,9887.93910538,1487817.88642,0,-112.060894604,USD
20160316 13:44:22 EST,paperUSD,9855.95944277,1507790.8061,0,-144.040557215,USD
20160316 13:44:28 EST,paperUSD,9829.56367679,1527824.87582,0,-170.436323199,USD
20160316 13:44:34 EST,paperUSD,9824.75635271,1547837.12314,0,-175.243647279,USD
20160316 13:45:12 EST,paperUSD,9787.16919231,1570004.5103,0,-212.830807679,USD
20160316 13:45:31 EST,paperUSD,9786.69163367,1590013.9503,0,-213.308366319,USD
20160316 13:46:10 EST,paperUSD,9817.48735387,1612145.7503,0,-182.512646119,USD
20160316 13:46:20 EST,paperUSD,9845.71020146,1632088.44713,0,-154.289798532,USD
20160316 13:46:30 EST,paperUSD,9841.44272095,1652100.15461,0,-158.557279044,USD
20160316 13:47:31 EST,paperUSD,9838.32121445,1672109.59461,0,-161.67878554,USD
20160316 13:48:31 EST,paperUSD,9839.39371667,1692115.96211,0,-160.606283316,USD
20160316 13:49:11 EST,paperUSD,9801.92847667,1714283.22735,0,-198.071523316,USD
20160316 13:49:18 EST,paperUSD,9768.72768742,1734256.14703,0,-231.272312561,USD
20160316 13:49:23 EST,paperUSD,9796.45320941,1754260.49123,0,-203.546790573,USD
20160316 13:49:27 EST,paperUSD,9788.38370861,1774269.93123,0,-211.616291373,USD
20160316 13:50:11 EST,paperUSD,9823.13878861,1796401.73123,0,-176.861211373,USD
20160316 13:50:21 EST,paperUSD,9851.37006507,1816344.41963,0,-148.629934908,USD
20160316 13:50:26 EST,paperUSD,9820.83707775,1836378.48935,0,-179.162922231,USD
20160316 13:50:32 EST,paperUSD,9826.02291135,1856380.74352,0,-173.977088631,USD
20160316 13:51:26 EST,paperUSD,9855.93726713,1876382.89888,0,-144.06273285,USD
20160316 13:52:13 EST,paperUSD,9816.48557373,1898552.15057,0,-183.51442625,USD
20160316 13:52:23 EST,paperUSD,9782.78370824,1918525.07025,0,-217.216291738,USD
20160316 13:52:26 EST,paperUSD,9752.46582965,1938559.13997,0,-247.534170325,USD
20160316 13:52:33 EST,paperUSD,9743.49455184,1958568.57997,0,-256.505448133,USD
20160316 13:53:22 EST,paperUSD,9773.28800029,1978509.7062,0,-226.711999687,USD
