symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
GBPUSD,GBP,,-1000000.0,-1000000.0,1.41474,1.41474,0.0,28.2948,33517728.0,-7589.5518,-6740.0,Paper,USD,33800000.0
USDCHF,USD,,1000000.0,1000000.0,0.95707,0.95707,0.0,19.37492508,-11428944.5424,-9874.48997304,-8360.772,Paper,CHF,-11235420.0
CADJPY,CAD,,-1000000.0,-1000000.0,82.998,82.998,0.0,14.607648,-53563144.8,-1212.935856,-589.6,Paper,JPY,-53416000.0
EURCHF,EUR,,1000000.0,1000000.0,1.08714,1.08714,0.0,22.00806216,24983195.3028,-7731.95671836,-6295.884,Paper,CHF,25203780.0
CHFJPY,CHF,,1000000.0,1000000.0,113.73,113.73,0.0,20.01648,56998691.2,2403.862912,2684.0,Paper,JPY,57200000.0
EURJPY,EUR,,-1000000.0,-1000000.0,123.67,123.67,0.0,21.76592,-86547385.76,18682.726656,19483.2,Paper,JPY,-86328000.0
USDJPY,USD,,1000000.0,1000000.0,108.928,108.928,0.0,19.171328,37119540.48,13234.651232,14326.4,Paper,JPY,37312000.0
EURUSD,EUR,,1000000.0,1000000.0,1.13823,1.13823,0.0,22.7646,15772034.0,-5150.0522,-3490.0,Paper,USD,16000000.0
USDCAD,USD,,1000000.0,1000000.0,1.30926,1.30926,0.0,19.57081848,-9388544.3244,-5813.56106226,-4447.03,Paper,CAD,-9193020.0
NZDUSD,NZD,,1000000.0,1000000.0,0.67919,0.67919,0.0,13.5838,21463730.0,-9259.1224,-8660.0,Paper,USD,21600000.0
EURGBP,EUR,,-1000000.0,-1000000.0,0.80591,0.80591,0.0,22.7347211,-24770538.065,7895.5431555,9492.665,Paper,GBP,-24542700.0
AUDJPY,AUD,,-1000000.0,-1000000.0,82.309,82.309,0.0,14.486384,-71602292.96,5070.972544,5711.2,Paper,JPY,-71456000.0
AUDUSD,AUD,,-1000000.0,-1000000.0,0.75622,0.75622,0.0,15.1244,-38952020.0,-23913.3062,-23030.0,Paper,USD,-38800000.0
NZDJPY,NZD,,-1000000.0,-1000000.0,73.979,73.979,0.0,13.020304,-47123142.88,24037.61536,24754.4,Paper,JPY,-46992000.0
GBPJPY,GBP,,1000000.0,1000000.0,153.592,153.592,0.0,27.032192,63880395.04,49623.091232,50952.0,Paper,JPY,64152000.0
