permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,1.1066,10000.0,-10000.0,-2.0,SLD,EUR,USD,20160316 12:49:07 EST,
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,1.10702,20000.0,10000.0,6.4,BOT,EUR,USD,20160316 13:31:14 EST,
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,1.11614666667,20000.0,-10000.0,-184.533333333,SLD,EUR,USD,20160316 14:45:54 EST,
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,1.12050888889,20000.0,10000.0,85.2444444,BOT,EUR,USD,20160316 16:30:30 EST,
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,1.12132962963,20000.0,-10000.0,-18.4148148,SLD,EUR,USD,20160316 17:40:31 EST,
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,1.12133654321,20000.0,10000.0,-1.8617284,BOT,EUR,USD,20160316 18:44:18 EST,
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,1.12151884774,20000.0,-10000.0,-5.64609053333,SLD,EUR,USD,20160316 20:17:55 EST,
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,1.12161294925,20000.0,10000.0,-0.117969866662,BOT,EUR,USD,20160316 21:49:19 EST,
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,1.12207098308,20000.0,-10000.0,-11.1606766667,SLD,EUR,USD,20160316 22:40:04 EST,
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,1.12237032769,20000.0,10000.0,3.98689226667,BOT,EUR,USD,20160316 23:45:42 EST,
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,1.12217016384,10000.0,0.0,0.0016384499999,SLD,EUR,USD,20160317 01:58:22 EST,
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,1.12271,10000.0,-10000.0,-2.0,SLD,EUR,USD,20160317 02:30:50 EST,
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,1.12649,20000.0,10000.0,73.6,BOT,EUR,USD,20160317 04:57:34 EST,
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,1.12784333333,20000.0,-10000.0,-29.0666666667,SLD,EUR,USD,20160317 05:47:43 EST,
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,1.13098777778,20000.0,10000.0,60.8888889333,BOT,EUR,USD,20160317 06:57:32 EST,
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,1.13094259259,20000.0,-10000.0,-1.09629626667,SLD,EUR,USD,20160317 07:27:49 EST,
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,1.13106753086,20000.0,10000.0,0.498765466665,BOT,EUR,USD,20160317 09:47:23 EST,
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,1.13225584362,20000.0,-10000.0,-25.7662552,SLD,EUR,USD,20160317 12:45:45 EST,
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,1.13204528121,20000.0,10000.0,-6.21124826667,BOT,EUR,USD,20160317 13:57:01 EST,
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,1.13153504017,60000.0,-50000.0,28.6144622286,SLD,EUR,USD,20160317 15:54:13 EST,
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,1.13169724454,40000.0,-10000.0,4.48817475555,BOT,EUR,USD,20160317 16:59:51 EST,
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,1.13145362227,10000.0,0.0,-4.4362227,BOT,EUR,USD,20160317 17:48:46 EST,
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,1.13193,10000.0,-10000.0,-2.0,SLD,EUR,USD,20160317 19:26:00 EST,
