permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,2.0,USD,EURJPY,1.0,,,1.0,1.01365715958,100000.0,-100000.0,-2.0,SLD,EUR,JPY,20160310 10:41:00 EST,,0.0,19998.0,399107.9817,1.01365715958,20000.0,-2.0
2,Paper,Paper,2.0,USD,USDJPY,2.0,,,1.0,1.00321785779,100000.0,100000.0,-2.0,BOT,USD,JPY,20160310 10:41:00 EST,,0.0,19996.0,398225.149985,1.00321785779,20000.0,-2.0
3,Paper,Paper,2.0,USD,AUDJPY,3.0,,,1.0,1.00057168116,100000.0,100000.0,-2.0,BOT,AUD,JPY,20160310 10:26:00 EST,,0.0,19994.0,397344.646906,1.00057168116,20000.0,-2.0
4,Paper,Paper,2.0,USD,USDJPY,4.0,,,1.0,0.998029613108,200000.0,-100000.0,-6.56565532042,SLD,USD,JPY,20160310 11:23:00 EST,,-4.56565532042,19987.4343447,397344.646906,0.998029613108,19995.4343447,-6.56565532042
5,Paper,Paper,2.0,USD,EURJPY,5.0,,,1.0,1.0133885073,100000.0,-200000.0,-2.0,SLD,EUR,JPY,20160310 10:25:00 EST,,0.0,19985.4343447,396452.86502,1.01352283344,19995.4343447,-2.0
6,Paper,Paper,2.0,USD,CADJPY,6.0,,,1.0,0.99891865984,100000.0,100000.0,-2.0,BOT,CAD,JPY,20160310 11:23:00 EST,,0.0,19983.4343447,395573.816599,0.99891865984,19995.4343447,-2.0
7,Paper,Paper,2.0,USD,CHFJPY,7.0,,,1.0,1.00834532121,100000.0,100000.0,-2.0,BOT,CHF,JPY,20160310 10:25:00 EST,,0.0,19981.4343447,394686.472716,1.00834532121,19995.4343447,-2.0
8,Paper,Paper,2.0,USD,EURJPY,8.0,,,1.0,1.01414634733,200000.0,-400000.0,-2.0,SLD,EUR,JPY,20160310 10:43:00 EST,,0.0,19977.4343447,392019.578386,1.01383459039,19995.4343447,-2.0
9,Paper,Paper,2.0,USD,CHFJPY,9.0,,,1.0,1.00955070761,100000.0,0.0,-0.939259963942,SLD,CHF,JPY,20160310 10:42:00 EST,,1.06074003606,19976.4950847,392907.983009,1.00834532121,19996.4950847,-0.939259963942
10,Paper,Paper,2.0,USD,AUDJPY,10.0,,,1.0,0.992167378812,100000.0,300000.0,-2.0,BOT,AUD,JPY,20160310 10:42:00 EST,,0.0,19974.659601,392910.977259,0.998336034577,19998.659601,-2.0
