symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
GBPUSD,GBP,,10000.0,10000.0,1.42349,1.42349,0.0,2.0,0.0,-10.0,-4.0,Paper,USD
NZDUSD,NZD,,10000.0,10000.0,0.6859,0.6859,-6859.0,2.0,0.0,-2.0,0.0,Paper,USD
AUDUSD,AUD,,10000.0,10000.0,0.76367,0.76367,0.0,2.0,0.0,-3.1,4.9,Paper,USD
GBPJPY,GBP,,10000.0,10000.0,162.233,162.233,-14276.504,2.0,0.0,-2.0,0.0,Paper,JPY
NZDJPY,NZD,,10000.0,10000.0,77.211,77.211,-6794.568,2.0,0.0,-2.0,0.0,Paper,JPY
CADJPY,CAD,,10000.0,10000.0,86.273,86.273,-7592.024,2.0,0.0,-2.0,0.0,Paper,JPY
EURUSD,EUR,,10000.0,10000.0,1.12859,1.12859,-11285.9,2.0,0.0,-2.0,0.0,Paper,USD
CHFJPY,CHF,,10000.0,10000.0,116.622,116.622,-10262.736,2.0,0.0,-2.0,0.0,Paper,JPY
EURGBP,EUR,,-10000.0,-10000.0,0.7846,0.7846,-11066.783,2.0,0.0,-2.0,0.0,Paper,GBP
USDCHF,USD,,10000.0,10000.0,0.96693,0.96693,0.0,2.0,0.0,-6.73294,-2.73294,Paper,CHF
USDCAD,USD,,-10000.0,-10000.0,1.30619,1.30619,-9762.46406,2.0,0.0,-2.0,0.0,Paper,CAD
