symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,currency,unr_pnl,pure_unr_pnl,balance,margin_available,purebalance
USDCAD,open,long,2.0,0.0,1.26784,0.0,-2.0,0.0,2.0,19.0,,,,,USDCAD,,20160425 07:18:32 EST,20160425 07:18:32 EST,2.0,CAD,-246.05768,-244.05768,99970.5001,1697464.72892,100016.5001
GBPUSD,open,short,2.0,0.0,1.44968,0.0,-2.0,0.0,2.0,49.0,,,,,GBPUSD,,20160425 09:45:43 EST,20160425 09:45:43 EST,-2.0,USD,350.6,352.6,99789.1793,1677486.52892,99953.1793
USDJPY,open,long,2.0,0.0,111.089,0.0,-2.0,0.0,2.0,51.0,,,,,USDJPY,,20160425 09:46:08 EST,20160425 09:46:08 EST,2.0,JPY,-841.16,-839.16,99787.51296,1677486.52892,99959.51296
EURJPY,open,short,2.0,0.0,122.519,0.0,-2.0,0.0,2.0,55.0,,,,,EURJPY,,20160502 09:42:35 EST,20160502 09:42:35 EST,-2.0,JPY,41.2,43.2,99238.39296,1677486.52892,99426.39296
CHFJPY,open,short,2.0,0.0,111.383,0.0,-2.0,0.0,2.0,57.0,,,,,CHFJPY,,20160502 09:44:27 EST,20160502 09:44:27 EST,-2.0,JPY,22.3,24.3,98408.9825,1677486.52892,98604.9825
EURCHF,open,long,2.0,0.0,1.09988,0.0,-2.0,0.0,2.0,61.0,,,,,EURCHF,,20160502 11:02:03 EST,20160502 11:02:03 EST,2.0,CHF,18.10764,20.10764,98633.17656,1677486.52892,98845.17656
USDCHF,open,long,2.0,0.0,0.95482,0.0,-2.0,0.0,2.0,66.0,,,,,USDCHF,,20160502 12:41:37 EST,20160502 12:41:37 EST,2.0,CHF,-5.0777,-3.0777,99057.49286,1677486.52892,99289.49286
NZDJPY,open,short,2.0,0.0,74.695,0.0,-2.0,0.0,2.0,66.0,,,,,NZDJPY,,20160502 12:50:20 EST,20160502 12:50:20 EST,-2.0,JPY,5.2,7.2,99076.01286,1697077.52568,99310.01286
CADJPY,open,long,2.0,0.0,85.025,0.0,-2.0,0.0,2.0,68.0,,,,,CADJPY,,20160502 13:39:32 EST,20160502 13:39:32 EST,2.0,JPY,-10.64,-8.64,99522.43286,1697077.52568,99764.43286
AUDUSD,open,long,2.0,0.0,0.7661,0.0,-2.0,0.0,2.0,69.0,,,,,AUDUSD,,20160502 13:45:42 EST,20160502 13:45:42 EST,2.0,USD,15.0,17.0,99478.23286,1697077.52568,99724.23286
AUDJPY,open,long,2.0,0.0,81.535,0.0,-2.0,0.0,2.0,73.0,,,,,AUDJPY,,20160502 14:56:50 EST,20160502 14:56:50 EST,2.0,JPY,10.6,12.6,97334.63286,1682401.22568,97594.63286
EURUSD,open,short,2.0,0.0,1.15219,0.0,-2.0,0.0,2.0,74.0,,,,,EURUSD,,20160502 15:05:32 EST,20160502 15:05:32 EST,-2.0,USD,19.6,21.6,97341.83286,1682401.22568,97605.83286
GBPJPY,open,long,2.0,0.0,156.15,0.0,-2.0,0.0,2.0,76.0,,,,,GBPJPY,,20160502 16:26:10 EST,20160502 16:26:10 EST,2.0,JPY,-0.560000000003,1.44,97388.11766,1682401.22568,97660.11766
EURGBP,open,long,2.0,0.0,0.78594,0.0,-2.0,0.0,2.0,77.0,,,,,EURGBP,,20160502 16:41:25 EST,20160502 16:41:25 EST,2.0,GBP,-2.8673,-0.867299999999,97379.78116,1682401.22568,97655.78116
