permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,22.09146744,USD,IDEALPRO,1.0,,,1.0,1.09126,1000000.0,1000000.0,-22.09146744,BOT,EUR,CHF,20160330 08:35:53 EST,,0.0,19977.9085326,-704573.372,1.09126,20000.0,-22.09146744
2,Paper,Paper,22.0872162,USD,IDEALPRO,2.0,,,1.0,1.09105,2000000.0,-1000000.0,-234.6492162,SLD,EUR,CHF,20160330 10:14:24 EST,,-212.562,19743.2593164,-704573.372,1.09105,19787.438,-234.6492162
3,Paper,Paper,22.1003748,USD,IDEALPRO,3.0,,,1.0,1.0917,1000000.0,0.0,-680.0303748,BOT,EUR,CHF,20160330 10:56:09 EST,,-657.93,19063.2289416,400445.368,1.09105,19129.508,-680.0303748
4,Paper,Paper,22.1125212,USD,IDEALPRO,4.0,,,1.0,1.0923,1000000.0,-1000000.0,-22.1125212,SLD,EUR,CHF,20160330 11:12:44 EST,,0.0,19041.1164204,-705180.692,1.0923,19129.508,-22.1125212
5,Paper,Paper,22.09571868,USD,IDEALPRO,5.0,,,1.0,1.09147,1000000.0,0.0,818.03028132,BOT,EUR,CHF,20160330 11:42:54 EST,,840.126,19859.1467017,399605.242,1.0923,19969.634,818.03028132
6,Paper,Paper,22.09450404,USD,IDEALPRO,6.0,,,1.0,1.09141,1000000.0,-1000000.0,-22.09450404,SLD,EUR,CHF,20160330 11:43:25 EST,,0.0,19837.0521977,-705119.96,1.09141,19969.634,-22.09450404
7,Paper,Paper,22.09956504,USD,IDEALPRO,7.0,,,1.0,1.09166,1000000.0,0.0,-275.14956504,BOT,EUR,CHF,20160330 11:48:57 EST,,-253.05,19561.9026327,399858.292,1.09141,19716.584,-275.14956504
8,Paper,Paper,22.09592112,USD,IDEALPRO,8.0,,,1.0,1.09148,1000000.0,-1000000.0,-22.09592112,SLD,EUR,CHF,20160330 12:11:33 EST,,0.0,19539.8067116,-704937.764,1.09148,19716.584,-22.09592112
9,Paper,Paper,22.09875528,USD,IDEALPRO,9.0,,,1.0,1.09162,1000000.0,0.0,-163.80675528,BOT,EUR,CHF,20160330 12:12:03 EST,,-141.708,19375.9999563,400000.0,1.09148,19574.876,-163.80675528
10,Paper,Paper,22.09976748,USD,IDEALPRO,10.0,,,1.0,1.09167,1000000.0,-1000000.0,-22.09976748,SLD,EUR,CHF,20160330 12:21:36 EST,,0.0,19353.9001888,-704988.374,1.09167,19574.876,-22.09976748
