symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
GBPJPY,GBP,,-117000.0,-117000.0,161.453831129,161.453831129,14233.12,2.0,8629.35532327,-704.176534528,-566.176534528,Paper,JPY,8632.50733042
EURUSD,EUR,,100000.0,100000.0,1.13708573434,1.13708573434,113725.0,2.2745,9.15216599999,-1242.09587487,-509.67656887,Paper,USD,11.426566
EURJPY,EUR,,50000.0,50000.0,124.239512963,124.239512963,54443.4,2.0,-228.82570372,-670.070296148,-318.070296148,Paper,JPY,-226.82570372
GBPUSD,GBP,,-50000.0,-50000.0,1.40981161421,1.40981161421,70352.5,2.0,140.5807105,182.7770487,337.1692887,Paper,USD,142.5807105
USDCHF,USD,,100000.0,100000.0,0.95705,0.95705,62967.19065,3.196795833,-2.0,2046.61523438,2875.81203022,Paper,CHF,0.0
USDJPY,USD,,50000.0,50000.0,108.76,108.76,47872.0,2.0,14.06,1850.46000152,2000.46000152,Paper,JPY,16.06
AUDUSD,AUD,,1000000.0,1000000.0,0.754163694444,0.754163694444,-738871.0,14.77742,-343.771144,156.11702445,188.89444445,Paper,USD,-328.694444
USDCAD,USD,,-100000.0,-100000.0,1.30865,1.30865,97815.975,2.0,-6.4844,-1126.24154912,-768.241549111,Paper,CAD,-4.4844
NZDJPY,NZD,,950000.0,950000.0,73.865,73.865,-598011.04,2.0,-70.8690575999,699.759999991,705.759999991,Paper,JPY,-58.5199999999
CADJPY,CAD,,-50000.0,-50000.0,83.6962384793,83.6962384793,36579.4,2.0,246.044930892,-173.896930902,-55.896930902,Paper,JPY,248.044930892
CHFJPY,CHF,,-50000.0,-50000.0,113.675,113.675,-50017.0,2.0,-3.1,-2.0,0.0,Paper,JPY,-1.1
EURGBP,EUR,,-50000.0,-50000.0,0.803980222415,0.803980222415,57005.3575,2.0,-305.594439182,57.3835140979,381.383514097,Paper,GBP,-303.594439182
EURCHF,EUR,,-100000.0,-100000.0,1.0890139084,1.0890139084,110172.909,2.20345818,60.44256141,-301.743718005,-186.235528045,Paper,CHF,62.645908248
AUDJPY,AUD,,-50000.0,-50000.0,82.01,82.01,-21650.64,2.0,-3.53999999999,-691.8,-679.8,Paper,JPY,-1.53999999999
NZDUSD,NZD,,-950000.0,-950000.0,0.67885,0.67885,-590599.5,2.0,-27.148435,126.70000012,268.70000012,Paper,USD,-14.25
