permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
225,Paper,Paper,2.0,USD,IDEALPRO,225.0,,,1.0,84.917,20000.0,10000.0,11.728,BOT,AUD,JPY,20160323 11:41:23 EST,,13.728,19259.83479,251501.29609,84.917,19709.83479,11.728
226,Paper,Paper,2.0,USD,IDEALPRO,226.0,,,1.0,1.32117,20000.0,-10000.0,14.29332,SLD,USD,CAD,20160323 11:46:31 EST,,16.29332,19274.12811,251501.29609,1.32117,19726.12811,14.29332
227,Paper,Paper,2.0,USD,IDEALPRO,227.0,,,1.0,0.79195,20000.0,-10000.0,-2.42315,SLD,EUR,GBP,20160323 11:51:38 EST,,-0.42315,19271.70496,251501.29609,0.79195,19725.70496,-2.42315
228,Paper,Paper,2.0,USD,IDEALPRO,228.0,,,1.0,0.66971,20000.0,10000.0,6.8,BOT,NZD,USD,20160323 11:51:39 EST,,8.8,19278.50496,251501.29609,0.66971,19734.50496,6.8
229,Paper,Paper,2.0,USD,IDEALPRO,229.0,,,1.0,158.959,20000.0,-10000.0,-9.568,SLD,GBP,JPY,20160323 12:01:49 EST,,-7.568,19268.93696,251501.29609,158.959,19726.93696,-9.568
230,Paper,Paper,2.0,USD,IDEALPRO,230.0,,,1.0,112.688,20000.0,10000.0,-7.016,BOT,USD,JPY,20160323 12:07:02 EST,,-5.016,19261.92096,251501.29609,112.688,19721.92096,-7.016
231,Paper,Paper,2.0,USD,IDEALPRO,231.0,,,1.0,0.75331,20000.0,10000.0,36.5,BOT,AUD,USD,20160323 12:07:03 EST,,38.5,19298.42096,251501.29609,0.75331,19760.42096,36.5
232,Paper,Paper,2.0,USD,IDEALPRO,232.0,,,1.0,84.876,20000.0,-10000.0,-5.608,SLD,AUD,JPY,20160323 12:07:06 EST,,-3.608,19292.81296,251501.29609,84.876,19756.81296,-5.608
233,Paper,Paper,2.0,USD,IDEALPRO,233.0,,,1.0,0.66922,20000.0,-10000.0,-6.9,SLD,NZD,USD,20160323 12:17:18 EST,,-4.9,19285.91296,251501.29609,0.66922,19751.91296,-6.9
234,Paper,Paper,2.0,USD,IDEALPRO,234.0,,,1.0,0.79217,20000.0,10000.0,-5.1031,BOT,EUR,GBP,20160323 12:22:24 EST,,-3.1031,19280.80986,251501.29609,0.79217,19748.80986,-5.1031
235,Paper,Paper,2.0,USD,IDEALPRO,235.0,,,1.0,112.736,20000.0,-10000.0,2.224,SLD,USD,JPY,20160323 12:32:33 EST,,4.224,19283.03386,251501.29609,112.736,19753.03386,2.224
236,Paper,Paper,2.0,USD,IDEALPRO,236.0,,,1.0,158.885,20000.0,10000.0,4.512,BOT,GBP,JPY,20160323 12:32:33 EST,,6.512,19287.54586,251501.29609,158.885,19759.54586,4.512
237,Paper,Paper,2.0,USD,IDEALPRO,237.0,,,1.0,0.75245,20000.0,-10000.0,-10.6,SLD,AUD,USD,20160323 12:37:40 EST,,-8.6,19276.94586,251501.29609,0.75245,19750.94586,-10.6
