symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency
EURJPY,EUR,,10000.0,10000.0,127.287,127.287,-11201.256,2.0,0.0,-2.0,0.0,Paper,JPY
GBPUSD,GBP,,10000.0,10000.0,1.43799,1.43799,-14379.9,2.0,0.0,-2.0,0.0,Paper,USD
USDJPY,USD,,-10000.0,-10000.0,112.749,112.749,-9921.912,2.0,0.0,-2.0,0.0,Paper,JPY
AUDUSD,AUD,,10000.0,10000.0,0.76334,0.76334,-7633.4,2.0,0.0,-2.0,0.0,Paper,USD
USDCAD,USD,,-10000.0,-10000.0,1.30664,1.30664,-9765.82736,2.0,0.0,-2.0,0.0,Paper,CAD
NZDJPY,NZD,,10000.0,10000.0,77.28,77.28,-6800.64,2.0,0.0,-2.0,0.0,Paper,JPY
CADJPY,CAD,,10000.0,10000.0,86.292,86.292,-7593.696,2.0,0.0,-2.0,0.0,Paper,JPY
NZDUSD,NZD,,10000.0,10000.0,0.68657,0.68657,0.0,2.0,0.0,-22.7,-16.7,Paper,USD
AUDJPY,AUD,,10000.0,10000.0,86.003,86.003,0.0,2.0,0.0,-3.8,2.2,Paper,JPY
GBPJPY,GBP,,10000.0,10000.0,161.909,161.909,0.0,2.0,0.0,-38.12,-32.12,Paper,JPY
EURGBP,EUR,,-10000.0,-10000.0,0.78527,0.78527,0.0,2.0,0.0,0.7704,6.7704,Paper,GBP
USDCHF,USD,,10000.0,10000.0,0.96683,0.96683,0.0,2.0,0.0,-6.20244,-0.20244,Paper,CHF
EURUSD,EUR,,-10000.0,-10000.0,1.1295,1.1295,0.0,2.0,0.0,-4.5,3.5,Paper,USD
CHFJPY,CHF,,10000.0,10000.0,116.407,116.407,0.0,2.0,0.0,-4.68,1.32,Paper,JPY
EURCHF,EUR,,10000.0,10000.0,1.09171,1.09171,0.0,2.0,0.0,-8.63172,-2.63172,Paper,CHF
