trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl,unr_pnl
1.0,1204637.5,20160405 04:53:43 EST,20160405 04:53:43 EST,20160405 04:53:43 EST,444.44,,BTCUSD,long,,20160405 04:42:13 EST,closed,20160405 04:42:13 EST,322.06,,,1.0,1.0,,BTCUSD,,1223800.0,-1.0,1224637.5,19162.5,1623800.0,1243800.0,,,,,
2.0,1365939.75,20160405 05:50:40 EST,20160405 05:50:40 EST,20160405 05:50:40 EST,305.97,,BTCUSD,short,,20160405 04:53:43 EST,closed,20160405 04:53:43 EST,444.44,,,1.0,1.0,,BTCUSD,,1384700.0,1.0,2590577.25,18760.25,239100.0,2628500.0,,,,,
3.0,-27069.0,20160405 06:00:52 EST,20160405 06:00:52 EST,20160405 06:00:52 EST,304.79,,BTCUSD,long,,20160405 05:50:40 EST,closed,20160405 05:50:40 EST,305.97,,,1.0,1.0,,BTCUSD,,-11800.0,-1.0,2563508.25,15269.0,227300.0,2616700.0,,,,,
4.0,-4707039.75,20160405 06:15:59 EST,20160405 06:15:59 EST,20160405 06:15:59 EST,772.8,,BTCUSD,short,,20160405 06:00:52 EST,closed,20160405 06:00:52 EST,304.79,,,1.0,1.0,,BTCUSD,,-4680100.0,1.0,-2143531.5,26939.75,4907400.0,-2063400.0,,,,,
5.0,-4437016.5,20160405 07:03:25 EST,20160405 07:03:25 EST,20160405 07:03:25 EST,331.86,,BTCUSD,long,,20160405 06:15:59 EST,closed,20160405 06:15:59 EST,772.8,,,1.0,1.0,,BTCUSD,,-4409400.0,-1.0,-6580548.0,27616.5,498000.0,-6472800.0,,,,,
6.0,-696689.0,20160405 07:49:02 EST,20160405 07:49:02 EST,20160405 07:49:02 EST,399.7,,BTCUSD,short,,20160405 07:03:25 EST,closed,20160405 07:03:25 EST,331.86,,,1.0,1.0,,BTCUSD,,-678400.0,1.0,-7277237.0,18289.0,1176400.0,-7151200.0,,,,,
7.0,-825167.0,20160405 08:08:39 EST,20160405 08:08:39 EST,20160405 08:08:39 EST,318.98,,BTCUSD,long,,20160405 07:49:02 EST,closed,20160405 07:49:02 EST,399.7,,,1.0,1.0,,BTCUSD,,-807200.0,-1.0,-8102404.0,17967.0,369200.0,-7958400.0,,,,,
8.0,-421761.0,20160405 09:03:58 EST,20160405 09:03:58 EST,20160405 09:03:58 EST,359.46,,BTCUSD,short,,20160405 08:08:39 EST,closed,20160405 08:08:39 EST,318.98,,,1.0,1.0,,BTCUSD,,-404800.0,1.0,-8524165.0,16961.0,774000.0,-8363200.0,,,,,
9.0,-562408.5,20160405 09:46:25 EST,20160405 09:46:25 EST,20160405 09:46:25 EST,304.88,,BTCUSD,long,,20160405 09:03:58 EST,closed,20160405 09:03:58 EST,359.46,,,1.0,1.0,,BTCUSD,,-545800.0,-1.0,-9086573.5,16608.5,228200.0,-8909000.0,,,,,
10.0,-571431.0,20160405 10:08:15 EST,20160405 10:08:15 EST,20160405 10:08:15 EST,360.36,,BTCUSD,short,,20160405 09:46:25 EST,closed,20160405 09:46:25 EST,304.88,,,1.0,1.0,,BTCUSD,,-554800.0,1.0,-9658004.5,16631.0,783000.0,-9463800.0,,,,,
11.0,-723051.0,20160405 10:21:15 EST,20160405 10:21:15 EST,20160405 10:21:15 EST,289.68,,BTCUSD,long,,20160405 10:08:15 EST,closed,20160405 10:08:15 EST,360.36,,,1.0,1.0,,BTCUSD,,-706800.0,-1.0,-10381055.5,16251.0,76200.0,-10170600.0,,,,,
12.0,-178994.25,20160405 10:32:31 EST,20160405 10:32:31 EST,20160405 10:32:31 EST,306.09,,BTCUSD,short,,20160405 10:21:15 EST,closed,20160405 10:21:15 EST,289.68,,,1.0,1.0,,BTCUSD,,-164100.0,1.0,-10560049.75,14894.25,240300.0,-10334700.0,,,,,
13.0,73173.75,20160405 10:59:23 EST,20160405 10:59:23 EST,20160405 10:59:23 EST,314.96,,BTCUSD,long,,20160405 10:32:31 EST,closed,20160405 10:32:31 EST,306.09,,,1.0,1.0,,BTCUSD,,88700.0,-1.0,-10486876.0,15526.25,329000.0,-10246000.0,,,,,
14.0,126707.25,20160405 11:14:44 EST,20160405 11:14:44 EST,20160405 11:14:44 EST,300.75,,BTCUSD,short,,20160405 10:59:23 EST,closed,20160405 10:59:23 EST,314.96,,,1.0,1.0,,BTCUSD,,142100.0,1.0,-10360168.75,15392.75,186900.0,-10103900.0,,,,,
15.0,216083.25,20160405 11:34:03 EST,20160405 11:34:03 EST,20160405 11:34:03 EST,323.92,,BTCUSD,long,,20160405 11:14:44 EST,closed,20160405 11:14:44 EST,300.75,,,1.0,1.0,,BTCUSD,,231700.0,-1.0,-10144085.5,15616.75,418600.0,-9872200.0,,,,,
16.0,162750.25,20160405 12:22:31 EST,20160405 12:22:31 EST,20160405 12:22:31 EST,306.07,,BTCUSD,short,,20160405 11:34:03 EST,closed,20160405 11:34:03 EST,323.92,,,1.0,1.0,,BTCUSD,,178500.0,1.0,-9981335.25,15749.75,240100.0,-9693700.0,,,,,
17.0,23898.25,20160405 15:18:50 EST,20160405 15:18:50 EST,20160405 15:18:50 EST,310.0,,BTCUSD,long,,20160405 12:22:31 EST,closed,20160405 12:22:31 EST,306.07,,,1.0,1.0,,BTCUSD,,39300.0,-1.0,-9957437.0,15401.75,279400.0,-9654400.0,,,,,
18.0,-763.25,20160405 15:37:40 EST,20160405 15:37:40 EST,20160405 15:37:40 EST,308.53,,BTCUSD,short,,20160405 15:18:50 EST,closed,20160405 15:18:50 EST,310.0,,,1.0,1.0,,BTCUSD,,14700.0,1.0,-9958200.25,15463.25,264700.0,-9639700.0,,,,,
19.0,98986.75,20160405 15:48:41 EST,20160405 15:48:41 EST,20160405 15:48:41 EST,320.0,,BTCUSD,long,,20160405 15:37:40 EST,closed,20160405 15:37:40 EST,308.53,,,1.0,1.0,,BTCUSD,,114700.0,-1.0,-9859213.5,15713.25,379400.0,-9525000.0,,,,,
