symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,accountid,currency
GBPUSD,GBP,,-10000.0,-10000.0,1.44509,1.44509,-14450.9,2.0,0.0,-2.0,Paper,USD
USDCAD,USD,,10000.0,10000.0,1.30133,1.30133,-9726.14042,2.0,0.0,-2.0,Paper,CAD
USDJPY,USD,,-10000.0,-10000.0,111.21,111.21,9795.016,2.0,0.0,6.536,Paper,JPY
EURJPY,EUR,,-10000.0,-10000.0,125.611,125.611,11052.536,2.0,0.0,-3.232,Paper,JPY
AUDUSD,AUD,,10000.0,10000.0,0.76347,0.76347,7622.6,2.0,0.0,10.1,Paper,USD
EURUSD,EUR,,10000.0,10000.0,1.12945,1.12945,11284.8,2.0,0.0,7.7,Paper,USD
USDCHF,USD,,-10000.0,-10000.0,0.96809,0.96809,9807.10458,2.0,0.0,6.0976,Paper,CHF
