trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
5.0,-40.96,20160410 20:06:42 EST,20160410 20:06:42 EST,20160410 20:06:42 EST,108.239,,USDJPY,short,,20160410 17:16:15 EST,closed,20160410 17:16:15 EST,108.029,,,2.0,2.0,,USDJPY,,-36.96,2.0,JPY,99621.18042,4.0,1726302.7511,100996.46464,101124.46464,99721.18042,233.552,231.552
27.0,-6.288,20160410 20:07:15 EST,20160410 20:07:15 EST,20160410 20:07:15 EST,83.381,,CADJPY,short,,20160410 19:35:52 EST,closed,20160410 19:35:52 EST,83.368,,,2.0,2.0,,CADJPY,,-2.288,2.0,JPY,99614.89242,4.0,1721927.7431,101144.35264,101276.35264,99718.89242,41.712,39.712
18.0,-74.576,20160410 20:07:48 EST,20160410 20:07:48 EST,20160410 20:07:48 EST,152.931,,GBPJPY,short,,20160410 17:38:15 EST,closed,20160410 17:38:15 EST,152.53,,,2.0,2.0,,GBPJPY,,-70.576,2.0,JPY,99540.31642,4.0,1734168.5431,100789.05664,100925.05664,99648.31642,318.208,316.208
22.0,-7.8,20160410 20:11:34 EST,20160410 20:11:34 EST,20160410 20:11:34 EST,1.413,,GBPUSD,short,,20160410 19:08:53 EST,closed,20160410 19:08:53 EST,1.41281,,,2.0,2.0,,GBPUSD,,-3.8,2.0,USD,99532.51642,4.0,1735512.6871,101054.89664,101194.89664,99644.51642,-29.0,-31.0
30.0,-9.061,20160410 20:13:07 EST,20160410 20:13:07 EST,20160410 20:13:07 EST,1.08761,,EURCHF,short,,20160410 19:41:49 EST,closed,20160410 19:41:49 EST,1.08736,,,2.0,2.0,,EURCHF,,-5.061,2.0,CHF,99523.45542,4.0,1729270.26394,100962.44516,101106.44516,99639.45542,48.99048,46.99048
28.0,-6.464,20160410 20:33:09 EST,20160410 20:33:09 EST,20160410 20:33:09 EST,113.527,,CHFJPY,long,,20160410 19:35:54 EST,closed,20160410 19:35:54 EST,113.541,,,2.0,2.0,,CHFJPY,,-2.464,-2.0,JPY,99516.99142,4.0,1727233.4391,100849.21004,100997.21004,99636.99142,147.664,145.664
38.0,-2.0,,,,0.0,,CHFJPY,short,,20160410 20:33:09 EST,open,20160410 20:33:09 EST,113.527,,,0.0,2.0,,CHFJPY,,0.0,-2.0,JPY,99514.99142,2.0,1707252.6871,100997.80204,101149.80204,99636.99142,,
23.0,-5.2,20160410 20:37:51 EST,20160410 20:37:51 EST,20160410 20:37:51 EST,0.75632,,AUDUSD,long,,20160410 19:09:28 EST,closed,20160410 19:09:28 EST,0.75638,,,2.0,2.0,,AUDUSD,,-1.2,-2.0,USD,99511.79142,4.0,1722379.0871,100922.80204,101074.80204,99635.79142,73.8,71.8
37.0,-9.061,20160410 20:44:06 EST,20160410 20:44:06 EST,20160410 20:44:06 EST,1.08736,,EURCHF,long,,20160410 20:13:07 EST,closed,20160410 20:13:07 EST,1.08761,,,2.0,2.0,,EURCHF,,-5.061,-2.0,CHF,99502.73042,4.0,1729265.20294,100948.44816,101104.44816,99630.73042,40.89288,38.89288
26.0,-5.584,20160410 21:04:22 EST,20160410 21:04:22 EST,20160410 21:04:22 EST,73.774,,NZDJPY,long,,20160410 19:35:50 EST,closed,20160410 19:35:50 EST,73.783,,,2.0,2.0,,NZDJPY,,-1.584,-2.0,JPY,99497.14642,4.0,1720236.9111,100864.07864,101024.07864,99629.14642,127.776,125.776
41.0,-2.0,,,,0.0,,NZDJPY,short,,20160410 21:04:22 EST,open,20160410 21:04:22 EST,73.774,,,0.0,2.0,,NZDJPY,,0.0,-2.0,JPY,99495.14642,2.0,1707252.6871,100990.14264,101154.14264,99629.14642,,
34.0,-6.288,20160410 21:04:39 EST,20160410 21:04:39 EST,20160410 21:04:39 EST,83.368,,CADJPY,long,,20160410 20:07:15 EST,closed,20160410 20:07:15 EST,83.381,,,2.0,2.0,,CADJPY,,-2.288,-2.0,JPY,99490.85842,4.0,1721925.4551,100950.36664,101114.36664,99626.85842,37.488,35.488
35.0,-6.64,20160410 21:04:53 EST,20160410 21:04:53 EST,20160410 21:04:53 EST,152.916,,GBPJPY,long,,20160410 20:07:48 EST,closed,20160410 20:07:48 EST,152.931,,,2.0,2.0,,GBPJPY,,-2.64,-2.0,JPY,99484.21842,4.0,1734165.9031,100740.79864,100908.79864,99624.21842,244.64,242.64
