Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160314 13:19:00 EST,paperUSD,18828.3361077,18952.1634181,27096.48,0,-1171.66389228,-1047.83658188,USD
20160314 13:19:00 EST,paperUSD,18629.5343987,18755.3617091,101425.68,0,-1370.4656013,-1244.6382909,USD
20160314 14:16:00 EST,paperUSD,18627.5343987,18755.3617091,2021.76,0,-1372.4656013,-1244.6382909,USD
20160314 14:16:00 EST,paperUSD,18625.5343987,18755.3617091,-72351.0,0,-1374.4656013,-1244.6382909,USD
20160314 14:20:00 EST,paperUSD,18593.6143987,18725.4417091,27082.84,0,-1406.3856013,-1274.5582909,USD
20160314 14:20:00 EST,paperUSD,18499.1535442,18632.9808546,101439.76,0,-1500.84645576,-1367.01914536,USD
20160314 21:28:00 EST,paperUSD,18497.1535442,18632.9808546,1744.12,0,-1502.84645576,-1367.01914536,USD
20160314 21:28:00 EST,paperUSD,18495.1535442,18632.9808546,-72892.64,0,-1504.84645576,-1367.01914536,USD
20160315 00:06:00 EST,paperUSD,18376.1135442,18515.9408546,26920.04,0,-1623.88645576,-1484.05914536,USD
20160315 00:06:00 EST,paperUSD,18510.923117,18652.7504274,101599.92,0,-1489.07688299,-1347.24957259,USD
20160315 00:08:00 EST,paperUSD,18508.923117,18652.7504274,1774.04,0,-1491.07688299,-1347.24957259,USD
20160315 00:08:00 EST,paperUSD,18506.923117,18652.7504274,-72960.4,0,-1493.07688299,-1347.24957259,USD
20160315 00:28:00 EST,paperUSD,18557.283117,18705.1104274,26813.12,0,-1442.71688299,-1294.88957259,USD
20160315 00:28:00 EST,paperUSD,18628.0879034,18777.9152138,101524.68,0,-1371.91209661,-1222.08478621,USD
20160315 00:36:00 EST,paperUSD,18626.0879034,18777.9152138,1650.84,0,-1373.91209661,-1222.08478621,USD
20160315 00:36:00 EST,paperUSD,18624.0879034,18777.9152138,-73066.88,0,-1375.91209661,-1222.08478621,USD
20160315 00:37:00 EST,paperUSD,18731.6479034,18887.4752138,26697.4,0,-1268.35209661,-1112.52478621,USD
20160315 00:37:00 EST,paperUSD,18841.2902966,18999.117607,101487.28,0,-1158.70970342,-1000.88239302,USD
20160315 00:38:00 EST,paperUSD,18839.2902966,18999.117607,1533.8,0,-1160.70970342,-1000.88239302,USD
20160315 00:38:00 EST,paperUSD,18837.2902966,18999.117607,-73297.0,0,-1162.70970342,-1000.88239302,USD
20160315 00:41:00 EST,paperUSD,18826.9302966,18990.757607,26664.84,0,-1173.06970342,-1009.24239302,USD
20160315 00:41:00 EST,paperUSD,18844.8914932,19010.7188036,101439.32,0,-1155.10850678,-989.28119638,USD
20160315 00:43:00 EST,paperUSD,18842.8914932,19010.7188036,1481.44,0,-1157.10850678,-989.28119638,USD
20160315 00:43:00 EST,paperUSD,18840.8914932,19010.7188036,-73310.64,0,-1159.10850678,-989.28119638,USD
20160315 00:45:00 EST,paperUSD,18856.9314932,19028.7588036,26629.2,0,-1143.06850678,-971.24119638,USD
