Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160323 10:34:28 EST,paperUSD,19785.67614,19903.67614,261518.74938,0,-214.32386,-96.32386,USD
20160323 10:34:29 EST,paperUSD,19783.67614,19903.67614,247391.64938,0,-216.32386,-96.32386,USD
20160323 10:47:44 EST,paperUSD,19785.47614,19907.47614,258571.94938,0,-214.52386,-92.52386,USD
20160323 10:47:44 EST,paperUSD,19783.47614,19907.47614,236211.34938,0,-216.52386,-92.52386,USD
20160323 10:48:14 EST,paperUSD,19784.17614,19910.17614,250341.14938,0,-215.82386,-89.82386,USD
20160323 10:58:59 EST,paperUSD,19782.17614,19910.17614,240487.07872,0,-217.82386,-89.82386,USD
20160323 11:02:02 EST,paperUSD,19780.17614,19910.17614,226365.27872,0,-219.82386,-89.82386,USD
20160323 11:02:34 EST,paperUSD,19781.37614,19913.37614,248722.67872,0,-218.62386,-86.62386,USD
20160323 11:02:34 EST,paperUSD,19779.37614,19913.37614,237543.97872,0,-220.62386,-86.62386,USD
20160323 11:08:10 EST,paperUSD,19783.44814,19919.44814,248630.83472,0,-216.55186,-80.55186,USD
20160323 11:08:10 EST,paperUSD,19781.44814,19919.44814,193196.55472,0,-218.55186,-80.55186,USD
20160323 11:14:16 EST,paperUSD,19784.3067,19924.3067,212910.97168,0,-215.6933,-75.6933,USD
20160323 11:16:49 EST,paperUSD,19779.0067,19921.0067,224086.37168,0,-220.9933,-78.9933,USD
20160323 11:16:49 EST,paperUSD,19777.0067,19921.0067,212910.97168,0,-222.9933,-78.9933,USD
20160323 11:23:25 EST,paperUSD,19786.8867,19932.8867,268357.13168,0,-213.1133,-67.1133,USD
20160323 11:35:07 EST,paperUSD,19746.2867,19894.2867,275898.73168,0,-253.7133,-105.7133,USD
20160323 11:35:07 EST,paperUSD,19744.2867,19894.2867,268357.13168,0,-255.7133,-105.7133,USD
20160323 11:40:46 EST,paperUSD,19853.0963,20005.0963,308000.77968,0,-146.9037,5.0963,USD
20160323 11:41:48 EST,paperUSD,19851.0963,20005.0963,288297.49692,0,-148.9037,5.0963,USD
