permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,83.368,20000.0,-40000.0,-2.0,SLD,CAD,JPY,20160412 10:48:06 EST,,0.0,99927.056,1932629.84,100231.408,83.368,100287.408,99979.056,-2.0
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,109.087,20000.0,20000.0,147.248,SLD,USD,JPY,20160413 10:05:04 EST,,149.248,100074.304,1951829.152,99494.784,108.239,99552.784,100128.304,147.248
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,85.427,20000.0,-20000.0,-364.384,BOT,CAD,JPY,20160413 10:05:05 EST,,-362.384,99709.92,1966864.304,99492.784,83.368,99552.784,99765.92,-364.384
29,Paper,Paper,2.0,USD,IDEALPRO,29.0,,,1.0,109.188,20000.0,0.0,165.024,SLD,USD,JPY,20160413 12:36:56 EST,,167.024,99874.944,1986081.392,99540.128,108.239,99600.128,99932.944,165.024
30,Paper,Paper,2.0,USD,IDEALPRO,30.0,,,1.0,85.259,20000.0,0.0,-334.816,BOT,CAD,JPY,20160413 12:36:56 EST,,-332.816,99540.128,2001086.976,99540.128,83.368,99600.128,99600.128,-334.816
31,Paper,Paper,2.0,USD,IDEALPRO,31.0,,,1.0,109.168,20000.0,20000.0,-2.0,BOT,USD,JPY,20160414 05:31:21 EST,,0.0,99538.128,1981873.408,99535.6,109.168,99599.6,99600.128,-2.0
32,Paper,Paper,2.0,USD,IDEALPRO,32.0,,,1.0,85.026,20000.0,-20000.0,-2.0,SLD,CAD,JPY,20160414 05:31:25 EST,,0.0,99536.128,1966908.832,99530.896,85.026,99598.896,99600.128,-2.0
33,Paper,Paper,2.0,USD,IDEALPRO,33.0,,,1.0,109.334,20000.0,40000.0,-2.0,BOT,USD,JPY,20160414 08:59:36 EST,,0.0,99534.128,1947666.048,99501.968,109.251,99571.968,99600.128,-2.0
34,Paper,Paper,2.0,USD,IDEALPRO,34.0,,,1.0,85.343,20000.0,-40000.0,-2.0,SLD,CAD,JPY,20160414 08:59:37 EST,,0.0,99532.128,1932645.68,99498.384,85.1845,99570.384,99600.128,-2.0
35,Paper,Paper,2.0,USD,IDEALPRO,35.0,,,1.0,109.024,20000.0,20000.0,-41.952,SLD,USD,JPY,20160414 09:56:09 EST,,-39.952,99490.176,1951833.904,99543.2,109.251,99617.2,99560.176,-41.952
