symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
NZDJPY,NZD,,-20000.0,-20000.0,76.349,76.349,-13742.82,2.0,14.02,-2.0,0.0,Paper,JPY,16.02
USDCAD,USD,,20000.0,20000.0,1.26784,1.26784,0.0,2.0,-12.40556,-6.20724,-2.20724,Paper,CAD,-10.40556
CADJPY,CAD,,-20000.0,-20000.0,87.634,87.634,0.0,2.0,-5.96,-10.84,-6.84,Paper,JPY,-3.96
EURJPY,EUR,,-20000.0,-20000.0,125.035,125.035,0.0,2.0,-6.68,-25.44,-19.44,Paper,JPY,-4.68
EURGBP,EUR,,-20000.0,-20000.0,0.77753,0.77753,0.0,2.0,15.6351,-40.3792,-32.3792,Paper,GBP,17.6351
EURUSD,EUR,,-20000.0,-20000.0,1.12534,1.12534,0.0,2.0,-14.0,-14.0,-10.0,Paper,USD,-12.0
AUDJPY,AUD,,20000.0,20000.0,85.739,85.739,0.0,2.0,7.9,-9.78,-3.78,Paper,JPY,9.9
NZDUSD,NZD,,-20000.0,-20000.0,0.68566,0.68566,0.0,2.0,-20.2,-44.6,-36.6,Paper,USD,-18.2
AUDUSD,AUD,,-20000.0,-20000.0,0.77165,0.77165,0.0,2.0,-18.0,17.0,25.0,Paper,USD,-16.0
CHFJPY,CHF,,20000.0,20000.0,114.012,114.012,0.0,2.0,-10.28,5.12,15.12,Paper,JPY,-8.28
EURCHF,EUR,,-20000.0,-20000.0,1.09715,1.09715,0.0,2.0,-5.89842,-14.36058,-6.36058,Paper,CHF,-3.89842
GBPUSD,GBP,,-20000.0,-20000.0,1.44968,1.44968,0.0,2.0,5.4,0.599999999995,12.6,Paper,USD,7.4
USDCHF,USD,,20000.0,20000.0,0.97464,0.97464,0.0,2.0,-3.23108,-38.52002,-28.52002,Paper,CHF,-1.23108
USDJPY,USD,,20000.0,20000.0,111.089,111.089,0.0,2.0,-6.14,63.44,73.44,Paper,JPY,-4.14
GBPJPY,GBP,,20000.0,20000.0,160.959,160.959,0.0,2.0,-0.559999999998,-24.88,-20.88,Paper,JPY,1.44
