Date,Open,High,Low,Close,Volume,Change,Net
20150309,120.88,121.42,120.615,121.16,-1,0.0,0.0
20150310,121.19,122.03,120.92,121.135,-1,-0.025,-0.000206338725652
20150311,121.185,121.63,120.86,121.46,-1,0.325,0.00268295703141
20150312,121.51,121.675,120.665,121.295,-1,-0.165,-0.00135847192491
20150313,121.295,121.575,121.14,121.445,-1,0.15,0.00123665443753
20150316,121.445,121.46,121.095,121.35,-1,-0.095,-0.000782247107744
20150317,121.36,121.525,121.11,121.375,-1,0.025,0.00020601565719
20150318,121.385,121.415,119.305,120.115,-1,-1.26,-0.0103810504634
20150319,120.075,121.035,119.68,120.8,-1,0.685,0.00570286808475
20150320,120.845,121.205,119.905,120.04,-1,-0.76,-0.00629139072848
20150323,119.915,120.17,119.59,119.745,-1,-0.295,-0.00245751416195
20150324,119.745,119.985,119.225,119.76,-1,0.015,0.000125266190655
20150325,119.79,119.83,119.24,119.495,-1,-0.265,-0.00221275885104
20150326,119.505,119.58,118.335,119.2,-1,-0.295,-0.00246872254069
20150327,119.2,119.495,118.93,119.16,-1,-0.04,-0.000335570469799
20150330,119.16,120.23,119.11,120.085,-1,0.925,0.0077626720376
20150331,120.145,120.365,119.78,120.145,-1,0.06,0.000499646084024
20150401,120.095,120.335,119.42,119.765,-1,-0.38,-0.00316284489575
20150402,119.725,119.9,119.455,119.73,-1,-0.035,-0.000292238967979
20150403,119.745,119.995,118.72,118.975,-1,-0.755,-0.00630585484006
20150406,118.895,119.69,118.805,119.54,-1,0.565,0.00474889682706
20150407,119.505,120.45,119.445,120.3,-1,0.76,0.00635770453405
20150408,120.33,120.37,119.645,120.145,-1,-0.155,-0.00128844555278
20150409,120.15,120.74,119.865,120.585,-1,0.44,0.00366224145824
20150410,120.58,120.635,120.06,120.25,-1,-0.335,-0.0027781233155
20150413,120.31,120.85,119.71,120.15,-1,-0.1,-0.000831600831601
20150414,120.15,120.18,119.075,119.405,-1,-0.745,-0.00620058260508
20150415,119.415,119.75,118.795,119.14,-1,-0.265,-0.00221933754868
20150416,119.145,119.475,118.8,119.03,-1,-0.11,-0.000923283531979
20150417,119.05,119.27,118.575,118.96,-1,-0.07,-0.000588087036882
20150420,118.995,119.44,118.535,119.18,-1,0.22,0.00184936112979
20150421,119.23,119.835,119.185,119.685,-1,0.505,0.00423728813559
20150422,119.725,119.965,119.35,119.92,-1,0.235,0.00196348748799
20150423,119.955,120.095,119.43,119.59,-1,-0.33,-0.00275183455637
20150424,119.565,119.665,118.83,119.01,-1,-0.58,-0.00484990383811
20150427,118.905,119.435,118.78,119.045,-1,0.035,0.000294092933367
20150428,119.06,119.205,118.78,118.86,-1,-0.185,-0.00155403418875
20150429,118.89,119.365,118.615,119.025,-1,0.165,0.00138818778395
20150430,119.13,119.895,118.495,119.38,-1,0.355,0.00298256668767
20150501,119.425,120.29,119.39,120.225,-1,0.845,0.00707823756073
20150504,120.25,120.28,120.0,120.165,-1,-0.06,-0.000499064254523
20150505,120.16,120.51,119.73,119.86,-1,-0.305,-0.00253817667374
20150506,119.885,120.05,119.21,119.47,-1,-0.39,-0.00325379609544
20150507,119.485,119.865,119.06,119.74,-1,0.27,0.00225998158534
20150508,119.7,120.24,119.595,119.87,-1,0.13,0.00108568565225
20150511,119.735,120.155,119.7,120.09,-1,0.22,0.0018353215984
20150512,120.125,120.28,119.79,119.875,-1,-0.215,-0.00179032392372
20150513,119.815,119.975,119.04,119.165,-1,-0.71,-0.0059228362878
20150514,119.18,119.34,118.89,119.175,-1,0.00999999999999,8.39172575839e-05
20150515,119.2,119.93,119.165,119.26,-1,0.085,0.000713236836585
20150518,119.365,120.04,119.32,119.995,-1,0.735,0.00616300519873
20150519,120.025,120.74,119.835,120.7,-1,0.705,0.00587524480187
20150520,120.725,121.485,120.585,121.375,-1,0.675,0.00559237779619
20150521,121.4,121.4,120.85,121.05,-1,-0.325,-0.00267765190525
20150522,121.04,121.575,120.645,121.555,-1,0.505,0.00417182982239
20150525,121.57,121.78,121.45,121.57,-1,0.015,0.00012340092962
20150526,121.575,123.325,121.53,123.13,-1,1.56,0.0128321131858
20150527,123.165,124.075,122.78,123.68,-1,0.55,0.00446682368229
20150528,123.695,124.465,123.5,123.965,-1,0.285,0.00230433376455
20150529,123.935,124.235,123.61,124.235,-1,0.27,0.00217803412253
20150601,124.175,124.92,123.86,124.775,-1,0.54,0.00434660119934
20150602,124.83,125.065,123.755,124.145,-1,-0.63,-0.00504908835905
20150603,124.135,124.685,123.795,124.25,-1,0.105,0.000845785170567
20150604,124.275,124.685,123.78,124.37,-1,0.12,0.000965794768612
20150605,124.425,125.86,124.36,125.665,-1,1.295,0.0104124788936
20150608,125.585,125.69,124.3,124.49,-1,-1.175,-0.0093502566347
20150609,124.555,124.745,123.865,124.365,-1,-0.125,-0.0010040967146
20150610,124.39,124.625,122.465,122.675,-1,-1.69,-0.013589032284
20150611,122.735,124.19,122.65,123.43,-1,0.755,0.00615447320155
20150612,123.475,123.82,123.145,123.46,-1,0.03,0.000243052742445
20150615,123.265,123.665,123.17,123.425,-1,-0.035,-0.000283492629192
20150616,123.48,123.81,123.295,123.37,-1,-0.055,-0.000445614745797
20150617,123.405,124.465,123.215,123.43,-1,0.06,0.000486341898355
20150618,123.445,123.615,122.485,122.98,-1,-0.45,-0.00364579113668
20150619,122.98,123.22,122.56,122.74,-1,-0.24,-0.00195153683526
20150622,122.965,123.42,122.565,123.385,-1,0.645,0.00525501059149
20150623,123.405,124.185,123.35,123.95,-1,0.565,0.00457916278316
20150624,123.95,124.38,123.72,123.855,-1,-0.095,-0.000766438079871
20150625,123.895,123.965,123.325,123.645,-1,-0.21,-0.00169553106455
20150626,123.66,123.995,123.23,123.895,-1,0.25,0.00202191758664
20150629,122.615,123.195,122.11,122.545,-1,-1.35,-0.0108963234997
20150630,122.565,122.73,121.945,122.505,-1,-0.04,-0.000326410706271
20150701,122.51,123.24,122.365,123.18,-1,0.675,0.00550997918452
20150702,123.2,123.755,122.96,123.075,-1,-0.105,-0.000852411105699
20150703,123.09,123.185,122.605,122.91,-1,-0.165,-0.00134064594759
20150706,122.015,122.935,121.88,122.575,-1,-0.335,-0.00272557155642
20150707,122.59,122.885,122.015,122.555,-1,-0.02,-0.000163165408933
20150708,122.595,122.595,120.42,120.71,-1,-1.845,-0.0150544653421
20150709,120.705,121.58,120.47,121.34,-1,0.63,0.00521912020545
