account,clientid,exchange,execid,expiry,orderid,permid,price,qty,side,symbol,symbol_currency,times
DU159913,237,IDEALPRO,0001f4e8.56e603a6.01.01,,1,192239515,113.8,50000,SLD,USD,JPY,20160314  00:48:10
DU159913,4444,IDEALPRO,0001f4e8.56e603ea.01.01,,1,192239516,1.11615,50000,BOT,EUR,USD,20160314  00:56:22
DU159913,3159,IDEALPRO,0001f4e8.56e603eb.01.01,,1,192239517,1.11615,50000,BOT,EUR,USD,20160314  00:56:25
DU159913,5923,IDEALPRO,0001f4e8.56e60417.01.01,,1,192239518,1.1163,50000,SLD,EUR,USD,20160314  00:59:08
DU159913,5542,IDEALPRO,0001f4e8.56e60421.01.01,,1,192239519,1.1163,50000,SLD,EUR,USD,20160314  00:59:13
DU159913,7825,IDEALPRO,0001f4e8.56e6044b.01.01,,1,192239520,1.1161,50000,BOT,EUR,USD,20160314  01:02:08
DU159913,3759,IDEALPRO,0001f4e8.56e6044c.01.01,,1,192239521,1.11615,50000,BOT,EUR,USD,20160314  01:02:13
DU159913,3517,IDEALPRO,0001f4e8.56e60481.01.01,,1,192239522,1.11595,50000,SLD,EUR,USD,20160314  01:05:13
DU159913,689,IDEALPRO,0001f4e8.56e60482.01.01,,1,192239523,1.11595,50000,SLD,EUR,USD,20160314  01:05:16
DU159913,3928,IDEALPRO,0001f4e8.56e604a3.01.01,,1,192239524,1.11588,50000,BOT,EUR,USD,20160314  01:08:27
DU159913,2693,IDEALPRO,0001f4e8.56e604a4.01.01,,1,192239525,1.11585,50000,BOT,EUR,USD,20160314  01:08:30
DU159913,611,IDEALPRO,0001f4e8.56e604d1.01.01,,1,192239526,1.1159,50000,SLD,EUR,USD,20160314  01:11:54
DU159913,7875,IDEALPRO,0001f4e8.56e604d2.01.01,,1,192239527,1.1159,50000,SLD,EUR,USD,20160314  01:11:54
DU159913,8446,IDEALPRO,0001f4e8.56e604d9.01.01,,1,192239528,0.7588,50000,SLD,AUD,USD,20160314  01:12:02
DU159913,62,IDEALPRO,0001f4e8.56e60502.01.01,,1,192239529,1.11625,50000,BOT,EUR,USD,20160314  01:15:17
DU159913,3974,IDEALPRO,0001f4e8.56e60506.01.01,,1,192239530,1.11625,50000,BOT,EUR,USD,20160314  01:15:21
DU159913,9678,IDEALPRO,0001f4e8.56e60523.01.01,,1,192239531,1.11625,50000,SLD,EUR,USD,20160314  01:18:09
DU159913,4271,IDEALPRO,0001f4e8.56e60524.01.01,,1,192239532,1.11625,50000,SLD,EUR,USD,20160314  01:18:12
DU159913,5925,IDEALPRO,0001f4e8.56e60557.01.01,,1,192239533,1.1165,50000,BOT,EUR,USD,20160314  01:21:18
DU159913,5061,IDEALPRO,0001f4e8.56e60558.01.01,,1,192239534,1.1165,50000,BOT,EUR,USD,20160314  01:21:21
DU159913,7700,IDEALPRO,0001f4e8.56e60581.01.01,,1,192239535,1.11635,50000,SLD,EUR,USD,20160314  01:24:34
DU159913,1367,IDEALPRO,0001f4e8.56e60582.01.01,,1,192239536,1.11635,50000,SLD,EUR,USD,20160314  01:24:34
DU159913,8266,IDEALPRO,0001f4e8.56e605a0.01.01,,1,192239537,1.11635,50000,BOT,EUR,USD,20160314  01:27:22
DU159913,3566,IDEALPRO,0001f4e8.56e605a1.01.01,,1,192239538,1.11635,50000,BOT,EUR,USD,20160314  01:27:28
DU159913,2804,IDEALPRO,0001f4e8.56e605c6.01.01,,1,192239539,1.1162,50000,SLD,EUR,USD,20160314  01:30:17
DU159913,7553,IDEALPRO,0001f4e8.56e605c7.01.01,,1,192239540,1.1162,50000,SLD,EUR,USD,20160314  01:30:21
DU159913,2759,IDEALPRO,0001f4e8.56e6061d.01.01,,1,192239541,1.1163,50000,BOT,EUR,USD,20160314  01:33:57
DU159913,1974,IDEALPRO,0001f4e8.56e6061f.01.01,,1,192239542,1.1163,50000,BOT,EUR,USD,20160314  01:34:03
DU159913,9385,IDEALPRO,0001f4e8.56e6066f.01.01,,1,192239545,0.75775,50000,BOT,AUD,USD,20160314  01:38:45
DU159913,8036,IDEALPRO,0001f4e8.56e60672.01.01,,1,192239544,1.11655,50000,SLD,EUR,USD,20160314  01:38:53
DU159913,9737,IDEALPRO,0001f4e8.56e60671.01.01,,1,192239543,1.11655,50000,SLD,EUR,USD,20160314  01:38:53
