DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19971006,81500.0000,81780.0000,81200.0000,81710.0000,45192,3768,0,0,0.0000
19971007,81560.0000,82500.0000,81550.0000,82320.0000,42604,5652,0,0,0.0000
19971008,82500.0000,82500.0000,81000.0000,81600.0000,30520,5630,0,0,0.0000
19971009,81050.0000,81570.0000,80450.0000,81240.0000,27312,6258,0,0,0.0000
19971010,80500.0000,81300.0000,80350.0000,81230.0000,19004,6720,0,0,0.0000
19971013,81480.0000,81660.0000,81230.0000,81310.0000,14694,7342,0,0,0.0000
19971014,81550.0000,81700.0000,80780.0000,81480.0000,30312,7814,0,0,0.0000
19971015,80900.0000,81400.0000,80800.0000,81130.0000,27606,10136,0,0,0.0000
19971016,81570.0000,81620.0000,79250.0000,79680.0000,30568,8576,0,0,0.0000
19971017,79400.0000,79640.0000,77760.0000,78950.0000,31848,9004,0,0,0.0000
19971020,79100.0000,79650.0000,78650.0000,79610.0000,29532,9490,0,0,0.0000
19971021,79950.0000,81170.0000,79830.0000,81140.0000,31744,9762,0,0,0.0000
19971022,81000.0000,81070.0000,80250.0000,80750.0000,32150,9474,0,0,0.0000
19971023,78500.0000,79650.0000,77500.0000,78850.0000,24800,10316,0,0,0.0000
19971024,79750.0000,79840.0000,77200.0000,77300.0000,32026,11112,0,0,0.0000
19971027,76600.0000,77350.0000,71800.0000,71800.0000,31718,13942,0,0,0.0000
19971028,69500.0000,75800.0000,68700.0000,75050.0000,35962,13762,0,0,0.0000
19971029,75400.0000,76600.0000,74600.0000,75520.0000,34942,14532,0,0,0.0000
19971030,73800.0000,75750.0000,73500.0000,73650.0000,23792,14232,0,0,0.0000
19971031,75000.0000,75350.0000,73750.0000,75000.0000,25282,14968,0,0,0.0000
19971103,75850.0000,77350.0000,75750.0000,77270.0000,19130,15226,0,0,0.0000
19971104,76670.0000,77350.0000,76400.0000,77030.0000,24536,15700,0,0,0.0000
19971105,77100.0000,78000.0000,76800.0000,77080.0000,23644,15558,0,0,0.0000
19971106,76920.0000,77300.0000,76520.0000,77150.0000,19506,15628,0,0,0.0000
19971107,75750.0000,76350.0000,74900.0000,76130.0000,23832,16032,0,0,0.0000
