DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19971110,76600.0000,76800.0000,75550.0000,75790.0000,22984,17096,0,0,0.0000
19971111,75950.0000,76200.0000,75400.0000,75800.0000,10494,17046,0,0,0.0000
19971112,74650.0000,75620.0000,74000.0000,74100.0000,26742,18624,0,0,0.0000
19971113,74800.0000,75300.0000,73550.0000,75170.0000,29354,19194,0,0,0.0000
19971114,75350.0000,76150.0000,74800.0000,76000.0000,21758,19090,0,0,0.0000
19971117,76850.0000,77650.0000,76650.0000,77220.0000,21214,19334,0,0,0.0000
19971118,77300.0000,77450.0000,76550.0000,76850.0000,22010,20112,0,0,0.0000
19971119,76800.0000,77800.0000,76450.0000,77550.0000,25024,19704,0,0,0.0000
19971120,77800.0000,78750.0000,77750.0000,78570.0000,24224,19542,0,0,0.0000
19971121,78750.0000,79250.0000,78100.0000,79200.0000,23616,20280,0,0,0.0000
19971124,78550.0000,78700.0000,77700.0000,77880.0000,22618,19818,0,0,0.0000
19971125,78100.0000,78400.0000,77500.0000,78200.0000,25516,21928,0,0,0.0000
19971126,78700.0000,78700.0000,78050.0000,78150.0000,14018,20772,0,0,0.0000
19971128,78300.0000,78800.0000,78150.0000,78210.0000,6808,20710,0,0,0.0000
19971201,78700.0000,80500.0000,78590.0000,80450.0000,22670,22512,0,0,0.0000
19971202,80300.0000,80600.0000,80100.0000,80370.0000,19316,21126,0,0,0.0000
19971203,80550.0000,80950.0000,79730.0000,80400.0000,25352,21838,0,0,0.0000
19971204,80700.0000,81250.0000,80400.0000,80730.0000,29412,21840,0,0,0.0000
19971205,80000.0000,81800.0000,79900.0000,81740.0000,25820,22358,199803,199803,0.0000
19971208,82600.0000,82650.0000,81700.0000,82030.0000,22338,9970,0,0,750.0000
19971209,81600.0000,81990.0000,81150.0000,81480.0000,27536,11276,0,0,0.0000
19971210,81050.0000,81250.0000,80000.0000,80570.0000,73606,11854,0,0,0.0000
19971211,79600.0000,80050.0000,78850.0000,79280.0000,34506,16298,0,0,0.0000
19971212,79800.0000,80000.0000,78650.0000,79370.0000,35000,17474,0,0,0.0000
19971215,79600.0000,80350.0000,79500.0000,80050.0000,26556,18542,0,0,0.0000
19971216,80400.0000,81080.0000,80350.0000,80650.0000,25410,18818,0,0,0.0000
19971217,81000.0000,81140.0000,80030.0000,80190.0000,36140,22782,0,0,0.0000
19971218,80300.0000,80300.0000,78700.0000,79200.0000,32268,24218,0,0,0.0000
19971219,78400.0000,78840.0000,76350.0000,78430.0000,31036,23772,0,0,0.0000
19971222,78500.0000,79250.0000,78100.0000,78820.0000,16846,23492,0,0,0.0000
19971223,78900.0000,79000.0000,77200.0000,77450.0000,12416,23362,0,0,0.0000
19971224,77940.0000,78100.0000,77200.0000,77400.0000,7122,22834,0,0,0.0000
19971226,77700.0000,77850.0000,77250.0000,77450.0000,4562,22782,0,0,0.0000
19971229,78100.0000,78890.0000,78000.0000,78840.0000,11718,22630,0,0,0.0000
19971230,79100.0000,79950.0000,78900.0000,79800.0000,14288,21770,0,0,0.0000
19971231,79850.0000,80280.0000,79450.0000,79650.0000,8504,21650,0,0,0.0000
19980102,79950.0000,80400.0000,79350.0000,80340.0000,10628,21542,0,0,0.0000
19980105,80400.0000,81050.0000,79600.0000,80520.0000,26230,21844,0,0,0.0000
19980106,80100.0000,80150.0000,79180.0000,79350.0000,24142,22270,0,0,0.0000
19980107,79100.0000,79760.0000,78330.0000,79710.0000,27644,22668,0,0,0.0000
19980108,79150.0000,79350.0000,78380.0000,78430.0000,24638,22954,0,0,0.0000
19980109,78300.0000,78500.0000,75450.0000,75880.0000,36484,25132,0,0,0.0000
19980112,74850.0000,77100.0000,74450.0000,76950.0000,34622,26140,0,0,0.0000
19980113,77250.0000,77800.0000,77000.0000,77750.0000,28138,27064,0,0,0.0000
19980114,78150.0000,78300.0000,77400.0000,78200.0000,23496,27748,0,0,0.0000
19980115,78150.0000,78180.0000,77100.0000,77130.0000,20476,27964,0,0,0.0000
19980116,77750.0000,78400.0000,77750.0000,77970.0000,31184,29572,0,0,0.0000
19980120,78430.0000,79250.0000,77770.0000,79230.0000,25780,27130,0,0,0.0000
19980121,78750.0000,78750.0000,77450.0000,78200.0000,30344,27646,0,0,0.0000
19980122,77600.0000,78200.0000,77300.0000,77480.0000,27300,28422,0,0,0.0000
19980123,77650.0000,78070.0000,76600.0000,77380.0000,32616,30626,0,0,0.0000
19980126,77700.0000,77950.0000,77150.0000,77560.0000,20222,30088,0,0,0.0000
19980127,77350.0000,78870.0000,77300.0000,78490.0000,24432,29476,0,0,0.0000
19980128,78850.0000,79500.0000,78500.0000,79420.0000,25736,29064,0,0,0.0000
19980129,79350.0000,80520.0000,79170.0000,79750.0000,26996,29296,0,0,0.0000
19980130,80150.0000,80200.0000,79210.0000,79530.0000,20186,29086,0,0,0.0000
19980202,80850.0000,81600.0000,80650.0000,81290.0000,24612,29746,0,0,0.0000
19980203,81200.0000,81950.0000,80900.0000,81870.0000,24314,27912,0,0,0.0000
19980204,81400.0000,81900.0000,81120.0000,81490.0000,24050,28094,0,0,0.0000
19980205,82050.0000,82150.0000,80940.0000,81460.0000,27986,28580,0,0,0.0000
19980206,81750.0000,82370.0000,81520.0000,82300.0000,25618,29132,0,0,0.0000
19980209,82500.0000,82500.0000,81650.0000,82030.0000,21714,27756,0,0,0.0000
19980210,82070.0000,83500.0000,82050.0000,83320.0000,34018,28150,0,0,0.0000
19980211,83150.0000,83450.0000,83010.0000,83320.0000,22294,27970,0,0,0.0000
19980212,82850.0000,84250.0000,82480.0000,83840.0000,29708,27414,0,0,0.0000
19980213,83600.0000,83950.0000,83320.0000,83830.0000,16738,26632,0,0,0.0000
19980217,84400.0000,84850.0000,84010.0000,84240.0000,21318,27422,0,0,0.0000
19980218,84180.0000,84800.0000,83900.0000,84720.0000,25958,27398,0,0,0.0000
19980219,84820.0000,84850.0000,83850.0000,83880.0000,26282,27268,0,0,0.0000
19980220,84150.0000,84500.0000,83350.0000,84400.0000,27562,26390,0,0,0.0000
19980223,84950.0000,85000.0000,83960.0000,84290.0000,26404,26482,0,0,0.0000
19980224,84000.0000,84470.0000,83580.0000,83940.0000,30750,26092,0,0,0.0000
19980225,84350.0000,85150.0000,84060.0000,84780.0000,26360,24804,0,0,0.0000
19980226,84500.0000,85240.0000,84400.0000,85190.0000,27874,24184,0,0,0.0000
19980227,85000.0000,85900.0000,84900.0000,85570.0000,26374,25556,0,0,0.0000
19980302,85800.0000,85850.0000,85210.0000,85590.0000,26510,24768,0,0,0.0000
19980303,85150.0000,86100.0000,85050.0000,86070.0000,27384,24664,0,0,0.0000
19980304,85700.0000,85780.0000,85020.0000,85380.0000,25266,23902,0,0,0.0000
19980305,84330.0000,85080.0000,84050.0000,84680.0000,27360,23222,199806,199806,0.0000
19980306,85750.0000,86750.0000,85700.0000,86710.0000,23002,5524,0,0,850.0000
19980309,86400.0000,87250.0000,86280.0000,86640.0000,22444,5694,0,0,0.0000
19980310,87000.0000,87490.0000,86830.0000,87380.0000,25274,5838,0,0,0.0000
19980311,87550.0000,87850.0000,87400.0000,87670.0000,30614,7692,0,0,0.0000
19980312,87700.0000,87720.0000,86950.0000,87590.0000,29284,10152,0,0,0.0000
19980313,87950.0000,87990.0000,86740.0000,86830.0000,29974,13640,0,0,0.0000
19980316,87150.0000,88090.0000,86960.0000,88050.0000,28006,13264,0,0,0.0000
19980317,88130.0000,88400.0000,87720.0000,88360.0000,38696,16948,0,0,0.0000
19980318,88000.0000,88610.0000,87900.0000,88550.0000,32258,19424,0,0,0.0000
19980319,88550.0000,88880.0000,88400.0000,88830.0000,29080,20352,0,0,0.0000
19980320,89150.0000,89910.0000,88830.0000,89750.0000,27108,21684,0,0,0.0000
19980323,89500.0000,89750.0000,88980.0000,89100.0000,23316,21240,0,0,0.0000
19980324,89300.0000,90120.0000,89300.0000,89970.0000,20246,21174,0,0,0.0000
19980325,90800.0000,90800.0000,88750.0000,89430.0000,28974,21128,0,0,0.0000
19980326,89100.0000,89790.0000,89050.0000,89160.0000,21380,20666,0,0,0.0000
19980327,89800.0000,89850.0000,88350.0000,88800.0000,26310,21416,0,0,0.0000
19980330,88600.0000,89050.0000,88130.0000,88650.0000,20410,21458,0,0,0.0000
19980331,88850.0000,89770.0000,88500.0000,88670.0000,24456,21800,0,0,0.0000
19980401,88800.0000,89650.0000,88050.0000,89400.0000,22178,21788,0,0,0.0000
19980402,89300.0000,90750.0000,89150.0000,90600.0000,24920,22634,0,0,0.0000
19980403,90900.0000,91000.0000,90250.0000,90580.0000,25102,22690,0,0,0.0000
19980406,91150.0000,91650.0000,90700.0000,90760.0000,28772,26658,0,0,0.0000
19980407,90550.0000,90850.0000,89500.0000,90230.0000,27934,24566,0,0,0.0000
19980408,90400.0000,90420.0000,89200.0000,89630.0000,27754,24912,0,0,0.0000
19980409,90130.0000,90900.0000,89750.0000,90700.0000,23730,26284,0,0,0.0000
19980413,91050.0000,91100.0000,89800.0000,90700.0000,21950,26098,0,0,0.0000
19980414,90800.0000,91850.0000,90700.0000,91770.0000,25710,27540,0,0,0.0000
19980415,91870.0000,92250.0000,91400.0000,92220.0000,24978,27524,0,0,0.0000
19980416,91800.0000,91900.0000,91050.0000,91280.0000,27456,27344,0,0,0.0000
19980417,91050.0000,92340.0000,91050.0000,92220.0000,25316,26660,0,0,0.0000
19980420,92100.0000,92240.0000,91500.0000,91880.0000,25160,25816,0,0,0.0000
19980421,91900.0000,92500.0000,91510.0000,92440.0000,30660,26058,0,0,0.0000
19980422,92400.0000,92650.0000,92150.0000,92290.0000,21566,25352,0,0,0.0000
19980423,92160.0000,92550.0000,91600.0000,91820.0000,28890,26988,0,0,0.0000
19980424,91700.0000,92070.0000,90530.0000,90870.0000,29752,27724,0,0,0.0000
19980427,90870.0000,90920.0000,88700.0000,89750.0000,37078,27750,0,0,0.0000
19980428,89680.0000,90490.0000,89000.0000,89400.0000,33162,27986,0,0,0.0000
19980429,89400.0000,90350.0000,89250.0000,89850.0000,29010,26996,0,0,0.0000
19980430,89650.0000,91720.0000,89650.0000,91190.0000,26922,25824,0,0,0.0000
19980501,89680.0000,92070.0000,89680.0000,92010.0000,17790,25074,0,0,0.0000
19980504,92200.0000,92950.0000,92010.0000,92240.0000,25042,24566,0,0,0.0000
19980505,91800.0000,92200.0000,91350.0000,91890.0000,26206,24810,0,0,0.0000
19980506,91800.0000,92140.0000,90630.0000,90660.0000,29672,24710,0,0,0.0000
19980507,90500.0000,90920.0000,89950.0000,90050.0000,22400,24504,0,0,0.0000
19980508,90120.0000,91300.0000,89850.0000,91260.0000,24598,24672,0,0,0.0000
19980511,91330.0000,92150.0000,90900.0000,91230.0000,27152,25680,0,0,0.0000
19980512,91250.0000,92180.0000,90820.0000,92110.0000,29234,25560,0,0,0.0000
19980513,92120.0000,92600.0000,91850.0000,92500.0000,26122,25874,0,0,0.0000
19980514,92390.0000,92540.0000,91550.0000,91880.0000,29588,26162,0,0,0.0000
19980515,91800.0000,92200.0000,91050.0000,91090.0000,22200,25852,0,0,0.0000
19980518,90910.0000,91590.0000,90150.0000,90780.0000,28488,26052,0,0,0.0000
19980519,90800.0000,91550.0000,90600.0000,90880.0000,23138,25714,0,0,0.0000
19980520,91000.0000,92100.0000,90650.0000,92070.0000,27320,26428,0,0,0.0000
19980521,92000.0000,92330.0000,91250.0000,91490.0000,26622,26018,0,0,0.0000
19980522,91490.0000,91840.0000,91020.0000,91440.0000,15192,26012,0,0,0.0000
19980526,91900.0000,91970.0000,89600.0000,89830.0000,26480,26146,0,0,0.0000
19980527,89770.0000,89900.0000,88000.0000,89790.0000,41712,25972,0,0,0.0000
19980528,89800.0000,90200.0000,89230.0000,90060.0000,26416,25106,0,0,0.0000
19980529,90100.0000,90540.0000,88900.0000,88980.0000,24068,24650,0,0,0.0000
19980601,89500.0000,89950.0000,88500.0000,89520.0000,37242,26274,0,0,0.0000
19980602,89560.0000,89950.0000,88800.0000,89080.0000,32738,25628,0,0,0.0000
19980603,89120.0000,89480.0000,87680.0000,87720.0000,27406,25586,0,0,0.0000
19980604,87900.0000,89000.0000,87450.0000,88970.0000,33130,25034,0,0,0.0000
19980605,88890.0000,90780.0000,88700.0000,90720.0000,33992,24964,199809,199809,0.0000
19980608,91700.0000,92110.0000,91350.0000,91730.0000,21514,5920,0,0,990.0000
19980609,91610.0000,91850.0000,91200.0000,91580.0000,26524,6522,0,0,0.0000
19980610,91350.0000,91920.0000,90400.0000,90550.0000,40372,8320,0,0,0.0000
19980611,90010.0000,90950.0000,88750.0000,88930.0000,42476,12728,0,0,0.0000
19980612,88910.0000,89450.0000,87650.0000,89400.0000,47674,14932,0,0,0.0000
19980615,89290.0000,89480.0000,86650.0000,86800.0000,43392,16838,0,0,0.0000
19980616,86940.0000,87790.0000,86600.0000,87570.0000,39500,16976,0,0,0.0000
19980617,87550.0000,89900.0000,87260.0000,89380.0000,49288,20152,0,0,0.0000
19980618,89400.0000,89750.0000,88720.0000,88950.0000,33440,23094,0,0,0.0000
19980619,88800.0000,89430.0000,87730.0000,87940.0000,23078,23958,0,0,0.0000
19980622,87690.0000,88550.0000,87490.0000,88000.0000,24804,24426,0,0,0.0000
19980623,88100.0000,89200.0000,87880.0000,89130.0000,21686,24532,0,0,0.0000
19980624,89100.0000,90240.0000,88550.0000,90110.0000,35292,24782,0,0,0.0000
19980625,90000.0000,91100.0000,89900.0000,90350.0000,33972,25778,0,0,0.0000
19980626,90250.0000,90730.0000,90100.0000,90470.0000,19584,25344,0,0,0.0000
19980629,90540.0000,91400.0000,90400.0000,90970.0000,24040,25344,0,0,0.0000
19980630,90970.0000,91040.0000,90030.0000,90300.0000,28754,25856,0,0,0.0000
19980701,91250.0000,91400.0000,90300.0000,91240.0000,24138,25566,0,0,0.0000
19980702,91280.0000,91560.0000,90760.0000,91030.0000,13208,25166,0,0,0.0000
19980706,91140.0000,91930.0000,90750.0000,91900.0000,22010,25656,0,0,0.0000
19980707,91760.0000,92280.0000,91480.0000,91790.0000,24636,26228,0,0,0.0000
19980708,92310.0000,92650.0000,91650.0000,92560.0000,23816,26504,0,0,0.0000
19980709,92590.0000,92650.0000,91300.0000,91530.0000,26880,26258,0,0,0.0000
19980710,91490.0000,92050.0000,90930.0000,91850.0000,26164,27984,0,0,0.0000
19980713,91510.0000,92150.0000,91000.0000,91480.0000,20238,27540,0,0,0.0000
19980714,91430.0000,93220.0000,91420.0000,93080.0000,30196,29032,0,0,0.0000
19980715,93050.0000,93720.0000,92850.0000,93050.0000,27220,29664,0,0,0.0000
19980716,93060.0000,94030.0000,92680.0000,93920.0000,26866,29018,0,0,0.0000
19980717,93950.0000,94180.0000,93660.0000,93920.0000,18446,28878,0,0,0.0000
19980720,93930.0000,94150.0000,93180.0000,93650.0000,22408,28064,0,0,0.0000
19980721,93650.0000,94100.0000,92220.0000,92330.0000,32648,28948,0,0,0.0000
19980722,92300.0000,92550.0000,91300.0000,91930.0000,34780,28160,0,0,0.0000
19980723,91860.0000,92110.0000,89600.0000,89640.0000,38916,28344,0,0,0.0000
19980724,89510.0000,90600.0000,89000.0000,89910.0000,32994,28428,0,0,0.0000
19980727,89900.0000,90800.0000,89020.0000,90750.0000,30924,28524,0,0,0.0000
19980728,90660.0000,90870.0000,88400.0000,89700.0000,41878,28800,0,0,0.0000
19980729,89720.0000,90440.0000,89130.0000,89480.0000,29728,27792,0,0,0.0000
19980730,89500.0000,90800.0000,89420.0000,90510.0000,23158,27604,0,0,0.0000
19980731,90500.0000,90900.0000,88500.0000,89000.0000,25792,26628,0,0,0.0000
19980803,88610.0000,89250.0000,88050.0000,88110.0000,27230,27764,0,0,0.0000
19980804,88100.0000,88890.0000,84800.0000,85050.0000,51458,30252,0,0,0.0000
19980805,85450.0000,86100.0000,83800.0000,86050.0000,41274,30712,0,0,0.0000
19980806,86150.0000,86350.0000,85150.0000,86050.0000,29234,30000,0,0,0.0000
19980807,86200.0000,87400.0000,85600.0000,86240.0000,30802,30306,0,0,0.0000
19980810,86160.0000,86600.0000,85550.0000,86130.0000,25378,29234,0,0,0.0000
19980811,86050.0000,86050.0000,84660.0000,84660.0000,36828,29584,0,0,0.0000
19980812,84600.0000,86050.0000,84580.0000,86000.0000,28388,29570,0,0,0.0000
19980813,86000.0000,86350.0000,84500.0000,84580.0000,34128,30268,0,0,0.0000
19980814,84500.0000,85800.0000,83850.0000,84250.0000,34426,29984,0,0,0.0000
19980817,84500.0000,86050.0000,83150.0000,85870.0000,30508,29070,0,0,0.0000
19980818,85850.0000,87750.0000,85620.0000,87600.0000,0,0,0,0,0.0000
19980819,87650.0000,88110.0000,86920.0000,87210.0000,24276,28704,0,0,0.0000
19980820,87250.0000,87540.0000,86250.0000,86420.0000,27208,28584,0,0,0.0000
19980821,86480.0000,86600.0000,83450.0000,85850.0000,37888,29044,0,0,0.0000
19980824,85600.0000,86540.0000,85250.0000,85960.0000,27614,28362,0,0,0.0000
19980825,85960.0000,87150.0000,85550.0000,86130.0000,31016,28446,0,0,0.0000
19980826,86120.0000,86130.0000,84750.0000,85580.0000,35954,29138,0,0,0.0000
19980827,85530.0000,85830.0000,81000.0000,81100.0000,50622,31400,0,0,0.0000
19980828,81250.0000,82700.0000,79300.0000,80930.0000,45462,31324,0,0,0.0000
19980831,80900.0000,81630.0000,74600.0000,74850.0000,49966,33060,0,0,0.0000
19980901,75250.0000,79200.0000,73600.0000,78700.0000,52952,33826,0,0,0.0000
19980902,78660.0000,79650.0000,77550.0000,77750.0000,36412,33494,0,0,0.0000
19980903,77800.0000,77850.0000,75800.0000,77230.0000,39004,33328,0,0,0.0000
19980904,77300.0000,77880.0000,74750.0000,76730.0000,30578,32356,0,0,0.0000
19980908,79440.0000,81480.0000,78980.0000,81480.0000,33674,6916,199903,199903,0.0000
19980909,81500.0000,81500.0000,79100.0000,79100.0000,44694,7878,0,0,890.0000
19980910,78400.0000,78700.0000,75650.0000,76190.0000,57240,18078,0,0,0.0000
19980911,76380.0000,79350.0000,75050.0000,79270.0000,44450,19600,0,0,0.0000
19980914,79270.0000,81000.0000,78780.0000,80000.0000,39004,19700,0,0,0.0000
19980915,80050.0000,81150.0000,79250.0000,80940.0000,38826,21356,0,0,0.0000
19980916,80950.0000,81950.0000,80250.0000,81750.0000,41606,22350,0,0,0.0000
19980917,81650.0000,81800.0000,79150.0000,79480.0000,45300,25736,0,0,0.0000
19980918,79490.0000,80390.0000,78850.0000,79650.0000,26616,25090,0,0,0.0000
19980921,79560.0000,80200.0000,77050.0000,79810.0000,32758,27138,0,0,0.0000
19980922,79750.0000,80740.0000,79100.0000,79500.0000,25528,26882,0,0,0.0000
19980923,79600.0000,82550.0000,79200.0000,82470.0000,29430,26564,0,0,0.0000
19980924,82300.0000,82760.0000,79800.0000,80600.0000,29132,27290,0,0,0.0000
19980925,80500.0000,81550.0000,79000.0000,80650.0000,32646,27534,0,0,0.0000
19980928,81000.0000,82290.0000,80800.0000,82050.0000,23518,27372,0,0,0.0000
19980929,81900.0000,82300.0000,80200.0000,81250.0000,28166,28250,0,0,0.0000
19980930,81200.0000,81250.0000,78600.0000,78850.0000,31106,29098,0,0,0.0000
19981001,79050.0000,79250.0000,76220.0000,76950.0000,43456,31074,0,0,0.0000
19981002,77000.0000,78850.0000,75550.0000,78620.0000,43472,31408,0,0,0.0000
19981005,78580.0000,78580.0000,75800.0000,77650.0000,37902,30782,0,0,0.0000
19981006,77650.0000,79200.0000,77100.0000,77750.0000,37982,31238,0,0,0.0000
19981007,77700.0000,79150.0000,76350.0000,77900.0000,43102,33464,0,0,0.0000
19981008,77850.0000,78250.0000,75000.0000,77880.0000,50362,34900,0,0,0.0000
19981009,77390.0000,79750.0000,76900.0000,79700.0000,29492,31482,0,0,0.0000
19981012,79250.0000,81400.0000,79250.0000,80270.0000,15378,31614,0,0,0.0000
19981013,80250.0000,80850.0000,79200.0000,79730.0000,27702,31224,0,0,0.0000
19981014,79500.0000,81000.0000,79020.0000,80070.0000,32214,29800,0,0,0.0000
19981015,80080.0000,86000.0000,79550.0000,84120.0000,37396,30316,0,0,0.0000
19981016,84390.0000,84850.0000,83560.0000,84750.0000,28250,28424,0,0,0.0000
19981019,84500.0000,85650.0000,84200.0000,85050.0000,24602,29836,0,0,0.0000
19981020,85010.0000,86850.0000,84860.0000,85520.0000,34442,29280,0,0,0.0000
19981021,85450.0000,86050.0000,85050.0000,85330.0000,23204,29422,0,0,0.0000
19981022,85350.0000,86000.0000,84550.0000,85900.0000,29060,30096,0,0,0.0000
19981023,85820.0000,86080.0000,84500.0000,84750.0000,22200,29862,0,0,0.0000
19981026,84650.0000,85800.0000,84310.0000,84680.0000,23394,29320,0,0,0.0000
19981027,84780.0000,85740.0000,83750.0000,84130.0000,32534,29078,0,0,0.0000
19981028,84110.0000,84700.0000,83550.0000,83900.0000,23940,28626,0,0,0.0000
19981029,83900.0000,85750.0000,83740.0000,85720.0000,23614,29116,0,0,0.0000
19981030,85730.0000,86870.0000,85580.0000,86450.0000,25390,28530,0,0,0.0000
19981102,86340.0000,87800.0000,86250.0000,87760.0000,24964,28126,0,0,0.0000
19981103,87700.0000,87790.0000,86950.0000,87300.0000,23760,27704,0,0,0.0000
19981104,87250.0000,88890.0000,87250.0000,88300.0000,30922,28264,0,0,0.0000
19981105,88250.0000,89800.0000,87400.0000,89750.0000,30210,28432,0,0,0.0000
19981106,89650.0000,90250.0000,89150.0000,90200.0000,5596,27738,0,0,0.0000
19981109,90060.0000,90270.0000,88750.0000,89300.0000,22066,28252,0,0,0.0000
19981110,89300.0000,89550.0000,88600.0000,88680.0000,21472,27536,0,0,0.0000
19981111,88700.0000,89650.0000,88120.0000,88600.0000,19914,28280,0,0,0.0000
19981112,88570.0000,89300.0000,88200.0000,88740.0000,25938,28222,0,0,0.0000
19981113,88710.0000,89940.0000,88600.0000,89900.0000,17896,28386,0,0,0.0000
19981116,90000.0000,90550.0000,89520.0000,90400.0000,18018,28082,0,0,0.0000
19981117,90360.0000,91500.0000,89200.0000,90030.0000,23258,27068,0,0,0.0000
19981118,90050.0000,91000.0000,89750.0000,90850.0000,18382,26694,0,0,0.0000
19981119,90750.0000,91190.0000,90360.0000,90920.0000,21532,27008,0,0,0.0000
19981120,90800.0000,92000.0000,90720.0000,91950.0000,18746,26126,0,0,0.0000
19981123,91890.0000,94300.0000,91890.0000,94270.0000,22196,26648,0,0,0.0000
19981124,94250.0000,94550.0000,93020.0000,93240.0000,27112,25990,0,0,0.0000
19981125,93160.0000,93400.0000,92730.0000,93270.0000,12314,25492,0,0,0.0000
19981127,93650.0000,93840.0000,93400.0000,93450.0000,4220,25020,0,0,0.0000
19981130,93500.0000,93650.0000,90900.0000,90930.0000,40478,25144,0,0,0.0000
19981201,90800.0000,91610.0000,89970.0000,91420.0000,34708,25422,0,0,0.0000
19981202,91350.0000,91650.0000,89550.0000,90830.0000,35244,24500,0,0,0.0000
19981203,90750.0000,91250.0000,88650.0000,88850.0000,31938,24382,0,0,0.0000
19981204,88850.0000,90750.0000,88700.0000,90400.0000,26352,23220,0,0,0.0000
19981207,90550.0000,91000.0000,90060.0000,90700.0000,22988,22948,199903,199903,0.0000
19981208,91300.0000,91750.0000,90150.0000,91050.0000,26932,10012,0,0,690.0000
19981209,90760.0000,91350.0000,90500.0000,90940.0000,27880,11340,0,0,0.0000
19981210,90850.0000,91080.0000,89000.0000,89130.0000,31636,15328,0,0,0.0000
19981211,89100.0000,89310.0000,88020.0000,88880.0000,29068,16212,0,0,0.0000
19981214,88350.0000,88740.0000,87200.0000,87250.0000,33002,19060,0,0,0.0000
19981215,87350.0000,89100.0000,87200.0000,89000.0000,34522,20656,0,0,0.0000
19981216,89000.0000,89150.0000,88150.0000,88580.0000,35150,23008,0,0,0.0000
19981217,88500.0000,89600.0000,87750.0000,89500.0000,30254,25674,0,0,0.0000
19981218,89400.0000,90100.0000,89100.0000,89650.0000,13614,26206,0,0,0.0000
19981221,89320.0000,92000.0000,89250.0000,90670.0000,15606,26846,0,0,0.0000
19981222,90530.0000,91450.0000,90150.0000,91220.0000,13940,26778,0,0,0.0000
19981223,91250.0000,93000.0000,90940.0000,92870.0000,12062,26632,0,0,0.0000
19981224,92690.0000,93240.0000,92500.0000,92900.0000,4238,26018,0,0,0.0000
19981228,92980.0000,93530.0000,92500.0000,92780.0000,8208,26508,0,0,0.0000
19981229,92600.0000,94140.0000,92550.0000,94090.0000,10998,26368,0,0,0.0000
19981230,94070.0000,94070.0000,93250.0000,93400.0000,9376,26766,0,0,0.0000
19981231,93700.0000,93700.0000,92300.0000,92650.0000,9278,26982,0,0,0.0000
19990104,92500.0000,94200.0000,91600.0000,92550.0000,27258,28792,0,0,0.0000
19990105,92550.0000,94050.0000,92210.0000,93770.0000,26732,28852,0,0,0.0000
19990106,93750.0000,96400.0000,93610.0000,96120.0000,29026,29662,0,0,0.0000
19990107,96050.0000,96140.0000,94650.0000,95900.0000,27800,29222,0,0,0.0000
19990108,95900.0000,97350.0000,95650.0000,97270.0000,28740,29350,0,0,0.0000
19990111,97100.0000,97600.0000,95800.0000,96900.0000,26152,29074,0,0,0.0000
19990112,96800.0000,97050.0000,95020.0000,95400.0000,27416,29434,0,0,0.0000
19990113,95520.0000,95650.0000,92000.0000,93850.0000,38870,31540,0,0,0.0000
19990114,93850.0000,94850.0000,91210.0000,91500.0000,36890,31196,0,0,0.0000
19990115,91600.0000,93960.0000,91300.0000,93770.0000,23128,29924,0,0,0.0000
