trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,underlying
101562334,-29,1459337189,,,161.69000,,forex,short,2016-03-30 07:26:29,1459337189,open,2016-03-30 07:26:25,161.70900,10000,,0,1,,GBPJPY,,
101554965,44,1459290588,,,77.34300,,forex,long,2016-03-29 18:29:48,1459290588,open,2016-03-29 18:29:45,77.34300,10000,,0,1,,NZDJPY,,
101554967,1,1459290594,,,86.29900,,forex,long,2016-03-29 18:29:54,1459290594,open,2016-03-29 18:29:50,86.29700,10000,,0,1,,CADJPY,,
101562621,2,1459338394,,,1.13322,,forex,short,2016-03-30 07:46:34,1459338394,open,2016-03-30 07:46:27,1.13322,10000,,0,1,,EURUSD,,
101561954,-5,1459336043,,,0.69207,,forex,long,2016-03-30 07:07:23,1459336043,open,2016-03-30 06:56:46,0.69291,10000,,0,1,,NZDUSD,,
101554959,33,1459290571,,,112.78500,,forex,short,2016-03-29 18:29:31,1459290571,open,2016-03-29 18:29:28,112.78500,10000,,0,1,,USDJPY,,
101554951,4,1459290549,,,127.30500,,forex,long,2016-03-29 18:29:09,1459290549,open,2016-03-29 18:29:05,127.30500,10000,,0,1,,EURJPY,,
101561255,6,1459331820,,,0.78650,,forex,short,2016-03-30 05:57:00,1459331820,open,2016-03-30 05:56:57,0.78650,10000,,0,1,,EURGBP,,
101560902,-4,1459329418,,,1.09117,,forex,long,2016-03-30 05:16:58,1459329418,open,2016-03-30 05:16:54,1.09121,10000,,0,1,,EURCHF,,
101557576,33,1459307838,,,116.38200,,forex,long,2016-03-29 23:17:18,1459307838,open,2016-03-29 23:17:15,116.38200,10000,,0,1,,CHFJPY,,
101562439,4,1459337790,,,86.14200,,forex,long,2016-03-30 07:36:30,1459337790,open,2016-03-30 07:36:27,86.14500,10000,,0,1,,AUDJPY,,
101559104,30,1459320405,,,0.96573,,forex,short,2016-03-30 02:46:45,1459320405,open,2016-03-30 02:46:41,0.96571,10000,,0,1,,USDCHF,,
101554963,32,1459290582,,,1.30663,,forex,short,2016-03-29 18:29:42,1459290582,open,2016-03-29 18:29:39,1.30663,10000,,0,1,,USDCAD,,
101554961,33,1459290577,,,0.76337,,forex,long,2016-03-29 18:29:37,1459290577,open,2016-03-29 18:29:33,0.76337,10000,,0,1,,AUDUSD,,
101554955,26,1459290560,,,1.43884,,forex,long,2016-03-29 18:29:20,1459290560,open,2016-03-29 18:29:17,1.43884,10000,,0,1,,GBPUSD,,
101554988,-3,1459310363,2016-03-29 18:37:01,1459291021,86.051,,forex,long,,1459290622,closed,2016-03-29 18:30:18,86.08300,10000,,1,1,,AUDJPY,,
101554978,-5,1459310363,2016-03-29 18:56:27,1459292187,0.78485,,forex,short,,1459290605,closed,2016-03-29 18:30:01,0.78451,10000,,1,1,,EURGBP,,
101555195,2,1459310363,2016-03-29 19:16:39,1459293399,0.78491,,forex,long,,1459292195,closed,2016-03-29 18:56:32,0.78475,10000,,1,1,,EURGBP,,
101555037,0,1459310363,2016-03-29 19:17:02,1459293422,86.047,,forex,short,,1459291029,closed,2016-03-29 18:37:06,86.05000,10000,,1,1,,AUDJPY,,
101554992,-5,1459310363,2016-03-29 19:36:56,1459294616,0.68523,,forex,long,,1459291000,closed,2016-03-29 18:30:24,0.68574,10000,,1,1,,NZDUSD,,
101555387,4,1459310363,2016-03-29 19:47:57,1459295277,86.086,,forex,long,,1459293430,closed,2016-03-29 19:17:06,86.04100,10000,,1,1,,AUDJPY,,
101554957,-2,1459310363,2016-03-29 19:56:52,1459295812,0.96656,,forex,long,,1459290565,closed,2016-03-29 18:29:22,0.96673,10000,,1,1,,USDCHF,,
101555613,-16,1459310363,2016-03-29 20:06:24,1459296384,0.68679,,forex,short,,1459295257,closed,2016-03-29 19:37:00,0.68521,10000,,1,1,,NZDUSD,,
101554982,-38,1459310363,2016-03-29 20:16:39,1459296999,161.853,,forex,long,,1459290610,closed,2016-03-29 18:30:07,162.27800,10000,,1,1,,GBPJPY,,
101555715,13,1459310363,2016-03-29 20:16:50,1459297010,85.938,,forex,short,,1459295287,closed,2016-03-29 19:48:03,86.08700,10000,,1,1,,AUDJPY,,
101555381,-1,1459310363,2016-03-29 20:26:35,1459297595,0.78498,,forex,short,,1459293411,closed,2016-03-29 19:16:44,0.78491,10000,,1,1,,EURGBP,,
101556035,-12,1459310363,2016-03-29 21:37:13,1459301833,162,,forex,short,,1459297007,closed,2016-03-29 20:16:44,161.86300,10000,,1,1,,GBPJPY,,
101554976,-13,1459310363,2016-03-29 21:46:40,1459302400,116.485,,forex,long,,1459290599,closed,2016-03-29 18:29:56,116.63300,10000,,1,1,,CHFJPY,,
101556135,5,1459310363,2016-03-29 21:56:55,1459303015,0.7853,,forex,long,,1459297603,closed,2016-03-29 20:26:40,0.78493,10000,,1,1,,EURGBP,,
101555807,-3,1459310363,2016-03-29 22:06:34,1459303594,0.96681,,forex,short,,1459295825,closed,2016-03-29 19:57:00,0.96656,10000,,1,1,,USDCHF,,
